feature,variant,maze,K2,n_K2,K3,n_K3,K4,n_K4,K5,n_K5,K6,n_K6,K7,n_K7,K8,n_K8,K9,n_K9,K10,n_K10,K12,n_K12,K14,n_K14,K16,n_K16,K20,n_K20,K25,n_K25,K30,n_K30,best_k,best_p
occupancy,full,2,1.0000,10,0.9401,10,0.1798,10,0.0649,10,0.2198,10,,,0.0310,10,,,0.0320,10,0.0400,10,0.0410,10,0.0270,10,0.4326,10,0.6194,10,0.5734,10,16,0.0270
occupancy,full,3,1.0000,10,0.2747,10,0.4186,10,0.5315,10,0.9840,10,,,0.6104,10,,,0.3147,10,0.6863,10,0.9830,10,0.9331,10,0.6124,10,0.6663,10,0.5175,10,3,0.2747
occupancy,full,4,1.0000,10,0.1029,10,0.0400,10,0.0040,10,0.0070,10,0.0110,10,0.0040,10,0.0030,10,0.0040,10,0.0030,10,0.0040,10,0.0080,10,0.0130,10,0.0040,10,0.0040,10,9,0.0030
occupancy,full,5,1.0000,10,0.8492,10,0.6823,10,0.3417,10,0.3826,10,,,0.6414,10,,,0.4925,10,0.8721,10,0.7243,10,0.4196,10,0.2178,10,0.5335,10,0.7882,10,20,0.2178
occupancy,mean_removed,2,0.5025,10,0.3157,10,0.2138,10,0.1788,10,0.3816,10,,,0.0999,10,,,0.1449,10,0.2278,10,0.1978,10,0.1479,10,0.5874,10,0.7772,10,0.6603,10,8,0.0999
occupancy,mean_removed,3,0.7592,10,0.9690,10,0.8312,10,0.6543,10,0.8072,10,,,0.9660,10,,,0.5115,10,0.7512,10,0.9620,10,0.9540,10,0.6803,10,0.7413,10,0.7313,10,10,0.5115
occupancy,mean_removed,4,0.0230,10,0.0899,10,0.0270,10,0.0020,10,0.0010,10,0.0010,10,0.0030,10,0.0020,10,0.0010,10,0.0010,10,0.0010,10,0.0010,10,0.0020,10,0.0020,10,0.0010,10,6,0.0010
occupancy,mean_removed,5,0.7103,10,0.6044,10,0.4186,10,0.1349,10,0.1159,10,,,0.4775,10,,,0.6763,10,0.9241,10,0.7443,10,0.4985,10,0.2358,10,0.5475,10,0.9980,10,6,0.1159
occupancy,no_origin,2,0.0010,10,1.0000,10,0.0589,10,0.0190,10,0.0689,10,,,0.0100,10,,,0.0120,10,0.0340,10,0.0230,10,0.0180,10,0.3327,10,0.4505,10,0.3606,10,2,0.0010
occupancy,no_origin,3,0.0010,10,0.9520,10,0.9710,10,0.1718,10,0.4615,10,,,0.8452,10,,,0.5265,10,0.6763,10,0.9091,10,0.9690,10,0.7792,10,0.8951,10,0.6484,10,2,0.0010
occupancy,no_origin,4,0.0010,10,1.0000,10,0.0250,10,0.0030,10,0.0040,10,0.0060,10,0.0070,10,0.0070,10,0.0180,10,0.0060,10,0.0050,10,0.0110,10,0.0310,10,0.0120,10,0.0020,10,2,0.0010
occupancy,no_origin,5,0.0010,10,0.7632,10,0.9580,10,0.3377,10,0.2637,10,,,0.4086,10,,,0.2198,10,0.5904,10,0.4176,10,0.1888,10,0.4975,10,0.8601,10,0.8332,10,2,0.0010
occupancy_bin,full,2,1.0000,10,0.8322,10,0.0979,10,0.0130,10,0.0070,10,,,0.0130,10,,,0.0140,10,0.0619,10,0.0170,10,0.0100,10,0.4915,10,0.2268,10,0.1798,10,6,0.0070
occupancy_bin,full,3,1.0000,10,0.4805,10,0.6394,10,0.0100,10,0.0110,10,,,0.3756,10,,,0.4565,10,0.0460,10,0.0140,10,0.0080,10,0.1868,10,0.6953,10,0.7892,10,16,0.0080
occupancy_bin,full,4,1.0000,10,0.7213,10,0.0599,10,0.0010,10,0.0030,10,0.0010,10,0.0010,10,0.0010,10,0.0010,10,0.0010,10,0.0010,10,0.0010,10,0.0010,10,0.0010,10,0.0010,10,5,0.0010
occupancy_bin,full,5,1.0000,10,0.8871,10,0.4595,10,0.6793,10,0.6843,10,,,0.5594,10,,,0.8751,10,0.6054,10,0.4615,10,0.3437,10,0.9680,10,0.9441,10,0.9680,10,16,0.3437
