feature,variant,maze,K2,n_K2,K3,n_K3,K4,n_K4,K5,n_K5,K6,n_K6,K8,n_K8,K10,n_K10,K12,n_K12,K14,n_K14,K16,n_K16,K20,n_K20,K25,n_K25,K30,n_K30,best_k,best_p
occupancy,full,2,0.1249,10,0.0440,10,0.0080,10,0.0160,10,0.0260,10,0.0260,10,0.0040,10,0.0060,10,0.0040,10,0.0050,10,0.0180,10,0.0140,10,0.0480,10,10,0.0040
occupancy,full,3,0.3217,10,0.6983,10,0.5235,10,0.4925,10,0.5624,10,0.6244,10,0.2308,10,0.8162,10,0.1728,10,0.3237,10,0.8112,10,0.5455,10,0.2637,10,14,0.1728
occupancy,full,4,0.3347,10,0.2188,10,0.1778,10,0.1309,10,0.0789,10,0.0250,10,0.0480,10,0.9031,10,0.3656,10,0.5604,10,0.9610,10,0.4226,10,0.0140,10,30,0.0140
occupancy,full,5,0.2188,10,0.1129,10,0.0999,10,0.1259,10,0.1139,10,0.7602,10,0.0999,10,0.3447,10,0.1778,10,0.1808,10,0.9650,10,0.0260,10,0.2238,10,25,0.0260
occupancy,mean_removed,2,0.0669,10,0.0070,10,0.0050,10,0.0070,10,0.0050,10,0.0220,10,0.0070,10,0.0060,10,0.0030,10,0.0090,10,0.0210,10,0.0110,10,0.0899,10,14,0.0030
occupancy,mean_removed,3,0.9920,10,0.9760,10,0.6683,10,0.7882,10,0.8721,10,0.8192,10,0.3427,10,0.8422,10,0.4695,10,0.6893,10,0.9970,10,0.3926,10,0.2338,10,30,0.2338
occupancy,mean_removed,4,0.4206,10,0.3986,10,0.2507,10,0.2657,10,0.2058,10,0.0290,10,0.0749,10,0.7822,10,0.9920,10,0.6793,10,0.9640,10,0.4615,10,0.0300,10,8,0.0290
occupancy,mean_removed,5,0.2058,10,0.1149,10,0.1109,10,0.2458,10,0.1928,10,0.4266,10,0.0350,10,0.6703,10,0.8691,10,0.6444,10,0.8611,10,0.0080,10,0.2448,10,25,0.0080
occupancy,no_origin,2,0.0010,10,0.0709,10,0.0170,10,0.0200,10,0.0829,10,0.0200,10,0.0020,10,0.0020,10,0.0010,10,0.0050,10,0.0160,10,0.0739,10,0.0290,10,2,0.0010
occupancy,no_origin,3,0.0010,10,0.8322,10,0.9700,10,0.7223,10,0.9730,10,0.9381,10,0.3666,10,0.8402,10,0.1798,10,0.3686,10,0.5255,10,0.7572,10,0.3606,10,2,0.0010
occupancy,no_origin,4,0.0010,10,0.3197,10,0.4146,10,0.3916,10,0.2507,10,0.0150,10,0.0240,10,0.4595,10,0.4995,10,0.9201,10,0.5574,10,0.3886,10,0.0130,10,2,0.0010
occupancy,no_origin,5,0.0010,10,0.3596,10,0.1359,10,0.2707,10,0.2388,10,0.3127,10,0.9041,10,0.9191,10,0.6643,10,0.5315,10,0.6424,10,0.1039,10,0.3337,10,2,0.0010
occupancy_bin,full,2,0.0040,10,0.1678,10,0.0040,10,0.0040,10,0.0150,10,0.0140,10,0.0010,10,0.0040,10,0.0040,10,0.0090,10,0.1828,10,0.4296,10,0.5504,10,10,0.0010
occupancy_bin,full,3,0.0380,10,0.6833,10,0.7043,10,0.8362,10,0.7972,10,0.9391,10,0.5514,10,0.8432,10,0.5225,10,0.5035,10,0.6274,10,0.8082,10,0.3816,10,2,0.0380
occupancy_bin,full,4,0.1349,10,0.2737,10,0.9820,10,0.9251,10,0.6004,10,0.0140,10,0.0080,10,0.4306,10,0.1758,10,0.4286,10,0.3237,10,0.5375,10,0.0040,10,30,0.0040
occupancy_bin,full,5,0.5245,10,0.1888,10,0.5135,10,0.8312,10,0.7443,10,0.5465,10,0.9411,10,0.6144,10,0.2747,10,0.3976,10,0.8212,10,0.3606,10,0.4635,10,3,0.1888
occupancy_bin,mean_removed,2,0.0030,10,0.0020,10,0.0020,10,0.0020,10,0.0020,10,0.0020,10,0.0010,10,0.0010,10,0.0030,10,0.0080,10,0.1239,10,0.3986,10,0.6803,10,10,0.0010
occupancy_bin,mean_removed,3,0.0519,10,0.9770,10,0.9800,10,0.2148,10,0.3127,10,0.6593,10,0.9760,10,0.6434,10,0.5814,10,0.5854,10,0.6414,10,0.6703,10,0.3397,10,2,0.0519
occupancy_bin,mean_removed,4,0.8462,10,0.8182,10,0.8671,10,0.7103,10,0.6034,10,0.0230,10,0.0170,10,0.2617,10,0.4386,10,0.2797,10,0.3497,10,0.5265,10,0.0140,10,30,0.0140
occupancy_bin,mean_removed,5,0.1558,10,0.1778,10,0.7522,10,0.7433,10,0.7183,10,0.9600,10,0.8002,10,0.5305,10,0.2468,10,0.4176,10,0.8661,10,0.1928,10,0.4396,10,2,0.1558
occupancy_bin,no_origin,2,0.0010,10,0.8442,10,0.0280,10,0.0170,10,0.0589,10,0.0120,10,0.0010,10,0.0020,10,0.0020,10,0.0070,10,0.1229,10,0.5514,10,0.2787,10,2,0.0010
occupancy_bin,no_origin,3,0.0010,10,0.7253,10,0.9510,10,0.4745,10,0.6214,10,0.7203,10,0.8731,10,0.5854,10,0.3886,10,0.3267,10,0.4615,10,0.9670,10,0.4555,10,2,0.0010
occupancy_bin,no_origin,4,0.0010,10,0.0679,10,0.4216,10,0.6503,10,0.9930,10,0.0060,10,0.0030,10,0.2168,10,0.1029,10,0.2757,10,0.1169,10,0.9870,10,0.0030,10,2,0.0010
occupancy_bin,no_origin,5,0.0010,10,0.2158,10,0.3127,10,0.7672,10,0.6803,10,0.4206,10,0.8531,10,0.5614,10,0.3107,10,0.4246,10,0.9850,10,0.3047,10,0.6484,10,2,0.0010
