method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Faure,svm,top_ten,full,occupancy,2,2,0.21523223142304548,0.321382783882784,0.2657319823670645,0.26518215027915765,0.0028504413298037212,1.0445758080067502,0.12487512487512488,0,-0.0006553748546569242,0.0033562103942943225,319,210,105,2,10,3,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,2,2,0.02053877551020408,-0.0041396825396825395,-0.005110204081632653,-0.007029478458049887,0.01426938775510204,1.7975474850632338,0.06693306693306693,0,0.0016851192743764173,0.007000798913683738,319,210,105,2,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,no_origin,occupancy,2,2,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,319,210,105,1,10,529,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy_bin,2,2,0.3548221240770173,0.8404065867647741,0.5589701579438088,0.5511352998722387,0.042561626512871875,4.860778985050817,0.003996003996003996,0,0.0003857499606692727,0.008676773143134727,319,210,105,2,10,376,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,2,2,0.35494421768707474,0.10667029478458044,0.1977433106575963,0.20121360544217676,0.03132879818594109,5.267144187417654,0.002997002997002997,0,0.0013690267573696153,0.005688048468492749,319,210,105,2,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,no_origin,occupancy_bin,2,2,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,319,210,105,1,10,529,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,2,3,0.3204387272620117,0.37355222507970576,0.3392824686768616,0.3369627955422318,0.008872844061312002,2.0844214886693364,0.04395604395604396,0,0.0011542290095683542,0.003703001093445403,319,210,105,3,10,2,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,2,3,0.013597055307615314,0.008391861924745912,-0.01342977620906841,-0.014094082408084891,0.02475638792475726,3.930035550151981,0.006993006993006993,0,0.002224331560167718,0.005733295812990341,319,210,105,3,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,no_origin,occupancy,2,3,0.15120766053577642,0.0376861432164835,0.0806661495127938,0.08101552830156189,0.013606062968952115,1.5741695030727518,0.07092907092907093,0,0.0018861073330153433,0.0074451675077300255,319,210,105,2,10,46,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy_bin,2,3,0.1898609478748595,0.24678522578318232,0.21656527716599772,0.21074638554783914,0.004667255472102477,0.9125013132619099,0.16783216783216784,0,-0.0006873723923225266,0.005868076885592488,319,210,105,3,10,244,100,1000,
