method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,2,2,0.4000101088783384,0.351332853341239,0.37544013166191254,0.3795473854651504,-0.0018222774537428044,-0.3577869187389599,0.7262737262737263,0,-0.00033468219095268253,0.004157768730151552,552,111,55,2,10,7,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,2,2,0.005778512396694214,-0.008846280991735537,0.004991735537190084,-0.0009586776859504131,-0.0035504132231404966,-0.4179457945071441,0.6343656343656343,0,-0.0006503404958677687,0.0069388728523817125,552,111,55,2,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,2,2,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,552,111,55,1,10,663,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy_bin,2,2,0.7802296343712238,0.6876853333809053,0.7379776820009245,0.7304668037149065,-0.00026475898185096547,-0.07684437746092251,0.9500499500499501,0,-6.203756580825515e-05,0.0026380774071050254,552,111,55,2,10,251,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy_bin,2,2,0.023722314049586767,0.019299173553718994,0.030433057851239655,0.023854545454545444,-0.005633057851239666,-0.7226216881005393,0.2897102897102897,0,-0.0005811371900826445,0.006991100245602013,552,111,55,2,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy_bin,2,2,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,552,111,55,1,10,663,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,2,3,0.571812124750937,0.48320361264776374,0.5257342542412258,0.5294842903861987,-0.00010140361436183909,0.05218497587361627,0.958041958041958,0,-0.0002258170648824034,0.0023840856192378804,552,111,55,3,10,4,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,2,3,0.025617212445889513,0.04153684467344226,0.03146328611986071,0.028534329038109527,0.0035782209806807658,0.9151940549101543,0.2597402597402597,0,-0.0008269386654661136,0.004813361300275644,552,111,55,3,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,2,3,0.22918261831572517,0.11168451083338247,0.16657007127929774,0.1732465085163045,0.0005252746767527294,0.0691717957633857,0.9470529470529471,0,-0.00029912915664013134,0.011918207765096618,552,111,55,2,10,320,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy_bin,2,3,0.5613120406165895,0.464262994372409,0.5139938097689228,0.510041146345408,0.0007700394373338915,0.386308812416314,0.6793206793206793,0,-0.00026540321479605686,0.002680349551576062,552,111,55,3,10,48,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy_bin,2,3,0.05485171842800241,0.021255760669550084,0.037262263426246084,0.029110317178275818,0.004867449246515297,1.0708890947735612,0.13786213786213786,0,-0.0006563482825658051,0.005158141544292321,552,111,55,3,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy_bin,2,3,0.2873578524491673,0.09278898653141204,0.17265128077957498,0.18795262200974722,0.009771468095628566,0.7744217402068255,0.25374625374625376,0,-0.00028936317798095035,0.012991411205633975,552,111,55,2,10,367,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,2,4,0.4710904587759417,0.34724499037168216,0.3978811055536835,0.40248851723403317,0.008982913179953589,3.240676637703065,0.013986013986013986,0,7.119403977665473e-06,0.002769728294254563,552,111,55,4,10,3,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,2,4,0.018293896355867142,0.017139228609073996,0.010734844017781318,0.009104666460148871,0.007796807243505474,1.730778622088828,0.061938061938061936,0,-0.0001938279419799195,0.004616786389377586,552,111,55,4,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,2,4,0.09732255396682232,0.06305310840062144,0.0699401222757428,0.06855659928753141,0.010939470402084789,1.269316092441673,0.08891108891108891,0,0.0004619586705878762,0.00825445434268641,552,111,55,3,10,199,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy_bin,2,4,0.41228265307506606,0.30209354458547627,0.352752219667789,0.3493506979240086,0.006136640034372309,2.2188017755095086,0.04295704295704296,0,-0.0002505377333773417,0.0028786608331800834,552,111,55,4,10,10,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy_bin,2,4,0.030373238917847694,0.012227075691977486,0.012134489306929125,0.008857130675970213,0.01080434731346292,2.3775699966737,0.027972027972027972,0,-0.0003623001384669543,0.004696664017274944,552,111,55,4,10,0,100,1000,
