method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Nielsen,dendro,publication,full,occupancy,1,6,0.7919360537261538,0.824244875454123,0.7750583693882827,0.7379994141880407,0.05156157280197671,1.1042681859194172,0.24175824175824176,0,0.0052686333164512905,0.0419218266683847,109,18,9,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy,1,12,0.750843991822036,0.7803102295142754,0.7688950072294025,0.7471644666409432,0.007547373732982865,0.05596981997726157,0.958041958041958,0,0.00539516725983283,0.03845298187531058,109,18,9,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy,2,6,0.8598062005185436,0.9500105167637476,0.8767381574189409,0.8893996337122776,0.021839463075536414,1.0671296305217628,0.22977022977022976,0,-0.005497405601930073,0.025617195789137993,129,26,13,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy,2,12,0.8603542725873601,0.9307250801525973,0.8938768303751051,0.8902507915682792,0.0034758653982864818,0.44786456088596316,0.6633366633366633,0,-0.0040892160202893315,0.016891449065785897,129,26,13,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy,3,6,0.8371195174553762,0.8144911010372919,0.8586496039300685,0.8439891686801174,-0.025514077058758966,-0.7778116681999548,0.38961038961038963,0,0.002859208433765029,0.03647834900469759,139,20,10,6,2,1,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy,3,12,0.8299902674814017,0.8403473183439891,0.8137935396449401,0.801345874720765,0.02759908572984293,0.8181576982726029,0.3786213786213786,0,0.004568037208831889,0.028149889159066865,139,20,10,12,2,1,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy,4,6,0.9597537228138467,0.9674568286129437,0.966148347679217,0.9643522089768222,-0.0016450026146243024,-0.18858408983039188,0.8511488511488512,0,0.0003917837109542952,0.010800414432683243,65,101,32,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy,4,12,0.9547869120772977,0.9603780378804688,0.9392422192611637,0.9398376143236647,0.01804255818646905,2.0104911039468405,0.03496503496503497,0,0.00022092284358342007,0.008864319423199422,65,101,32,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,full,occupancy,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,full,occupancy,6,6,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
block_means,Nielsen,dendro,publication,full,occupancy,6,12,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
block_means,Nielsen,dendro,publication,full,occupancy_bin,1,6,0.7687054903491871,0.8357254501132568,0.6871531975438405,0.6508874506880109,0.13319514611529626,2.1613192824989165,0.04195804195804196,0,0.014326185226329518,0.05499833451332119,109,18,9,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy_bin,1,12,0.7866386986295043,0.8329204297416243,0.7471957258973887,0.737632705257156,0.06736534860829191,1.6365501792831147,0.07592407592407592,0,0.009512429163673322,0.03535053197694241,109,18,9,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy_bin,2,6,0.840760345371441,0.8253921785572548,0.8562920318337737,0.845604070004745,-0.017871788954911372,-0.5779198655639076,0.5494505494505495,0,0.0031994990645231552,0.036460570530611774,129,26,13,6,2,1,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy_bin,2,12,0.8394039740349899,0.7730944442069508,0.8086815290948755,0.7914687924652661,0.006174048340899518,0.13842034119822555,0.8931068931068931,0,0.0023208447393251942,0.02783697517445304,129,26,13,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy_bin,3,6,0.8254238249789156,0.8292293209314772,0.8411721660586657,0.832823919451723,-0.009671469799998,-0.5931985377716031,0.5744255744255744,0,0.013563430067434892,0.039168842112653576,139,20,10,6,2,1,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy_bin,3,12,0.8185177768967254,0.8610262627886316,0.8371778753103736,0.8220522126135057,0.010156975880738939,-0.1401621246012675,0.9070929070929071,0,0.014268219358705673,0.02933205735616793,139,20,10,12,2,1,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy_bin,4,6,0.9436623380777389,0.9556790608675273,0.9269296580236751,0.9242538889639427,0.024078925978824328,1.2499416057500186,0.14885114885114886,0,0.002959209766654916,0.01689656229940172,65,101,32,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy_bin,4,12,0.9502713603326209,0.9431661238644028,0.8804059039818116,0.8824943290363744,0.06526862558941893,4.877768353017236,0.000999000999000999,1,0.002057109608482416,0.012959105764388303,65,101,32,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,full,occupancy_bin,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,full,occupancy_bin,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,full,occupancy_bin,6,6,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
block_means,Nielsen,dendro,publication,full,occupancy_bin,6,12,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
