method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Faure,svm,top_ten,full,occupancy,2,6,0.9947078912451753,0.9950551155388853,0.986815204070632,0.9868151222647047,0.008066340224362034,3.5063616577849963,0.005994005994005994,0,0.0003644058783206128,0.002196560166274123,319,210,105,6,10,1,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,2,6,0.989135608844332,0.9825037262790491,0.988476575902744,0.9877478832853168,-0.00229256203233974,-0.3773010564120856,0.6753246753246753,0,-0.0007477733879128249,0.004094313064259506,319,210,105,5,10,27,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,2,6,0.4035545170118178,0.6600679459767818,-0.6535251085185032,-0.7024998136802449,1.2098236925936738,3.077031265468314,0.004995004995004995,0,0.04818004736767196,0.37752091058106413,319,210,105,6,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,2,6,0.9943707897422623,0.9916070885395654,0.9854520989596132,0.9859998669812328,0.007262956170490886,2.85879263326526,0.015984015984015984,0,0.00044632224564827437,0.0023844450435206205,319,210,105,6,10,1,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,2,6,0.9930512959478253,0.9866597597072942,0.9926109508892708,0.9920203534359192,-0.0024601243350351742,-0.676144570970925,0.42657342657342656,0,-0.0003333800105345036,0.0031453988034640646,319,210,105,5,10,27,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,2,6,0.2055593444235259,0.46811355247522995,-0.576640548835639,-0.5547961080812498,0.9025547769078224,2.3645639148871918,0.00999000999000999,0,0.08532828782913038,0.3456140406835567,319,210,105,6,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,3,8,0.8909037507553499,0.9196415187887136,0.9165089358519889,0.9251411612387439,-0.015552413773334717,-0.7184399305971229,0.41058941058941056,0,-0.0018003332685025157,0.019141587096087938,517,36,18,8,10,1,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,3,8,0.8967499805317106,0.9437766084275697,0.9301888139546608,0.9284674464396904,-0.009064835717535469,-0.5033268697754167,0.5694305694305695,0,-0.0009495959073166554,0.016123200046601553,517,36,18,7,10,13,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,3,8,0.000954711667487117,-0.12726328303854914,-0.006174895584507376,0.02022163943298337,-0.070177657609769,-0.295562105374487,0.7612387612387612,0,-0.016261886297836477,0.18241774006725067,517,36,18,8,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,3,8,0.9210418966763596,0.9355161859412665,0.93063575416392,0.9268945368691951,-0.00048610420774442,0.04994818029254775,0.957042957042957,0,-0.0011374958083660482,0.013041347989184215,517,36,18,8,10,1,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,3,8,0.923848382188525,0.9345443456818718,0.9271788761642452,0.9239852037738152,0.0036143239661682314,0.3207884310951926,0.7512487512487512,0,-0.0010513388071846878,0.014544361083796078,517,36,18,7,10,13,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,3,8,-0.00670451298857056,-0.0191292023187005,-0.01152915891817603,-0.005396350373079847,-0.004454103008007594,0.0752115788967456,0.9500499500499501,0,-0.016937863505502228,0.16598189641295785,517,36,18,8,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,4,6,0.9856677165297566,0.9878776032637546,0.9901419856358034,0.9902629028061283,-0.00342978432421015,-1.213171711417559,0.15784215784215785,0,-9.993104912342321e-05,0.002744750181485753,49,577,24,6,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,4,6,0.9399321065861069,0.9446842012827468,0.9517380188600475,0.9528518914605262,-0.009986801225859931,-0.7540010514420562,0.33966033966033965,0,-0.0007326821522791382,0.01227335035658363,49,577,24,5,10,40,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,4,6,-0.6130566026501162,-0.03302306311823804,0.036604495016991284,0.008538650439810868,-0.3456114056125782,-1.739756866540502,0.07392607392607392,0,-0.0033336906319198336,0.19673882113267693,49,577,24,6,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,4,6,0.9699670492601894,0.970018207212428,0.97556157231236,0.9699558830311016,-0.0027660994354220536,-0.5109631429562881,0.5914085914085914,0,0.0004001270694486816,0.006196584917166129,49,577,24,6,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,4,6,0.9602261635611561,0.9607915761021699,0.9639570095063066,0.9536410356569978,0.0017098472500108874,0.10395355059377309,0.8991008991008991,0,0.0006186900614292077,0.010496584121938024,49,577,24,5,10,40,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,4,6,-0.15799818840969349,-0.04953812435924337,0.02489552850269331,-0.006283431341643794,-0.11307420496499318,-0.6442276183034101,0.5584415584415584,0,0.015329460385951146,0.19931412703028575,49,577,24,6,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,5,5,0.9857569386496582,0.9894139339800359,0.9905254586716592,0.9890113511895738,-0.0021829686157694983,-0.8310544835348511,0.34865134865134867,0,0.0007759755905742472,0.0035604695780690767,94,623,47,5,10,5,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,5,5,0.8155355825248679,0.8806134060210491,0.8544193180218643,0.8620195389766618,-0.01014493422630447,-0.20587853564755934,0.7842157842157842,0,-0.000513405355488747,0.04678257906061565,94,623,47,4,10,82,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,5,5,-0.2356590645870268,-0.1180491706708395,0.06146902354702506,0.031201012995089834,-0.22318913589999062,-1.1001662082086139,0.2977022977022977,0,0.030280563956110937,0.23039218798478,94,623,47,5,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,5,5,0.971969607886582,0.9725626419231758,0.9732763899195049,0.9711370147463977,5.942257192770306e-05,-0.09558099117767484,0.9170829170829171,0,0.000835588994260176,0.008120510289432578,94,623,47,5,10,5,100,1000,
