method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Faure,svm,top_ten,full,occupancy,2,6,0.5458914012924962,0.5637935728031546,0.5527762786629016,0.5475849952404227,0.004661850096163267,2.4546673951320415,0.026973026973026972,0,0.0005831589605507961,0.0016616064334015687,319,210,105,6,10,1,100,1000,
trial_by_trial,Faure,svm,top_ten,no_origin,occupancy,2,6,0.41858764950520083,0.32627453557103886,0.3724904008913612,0.36669199153141235,0.002839896326733038,1.1009840003570457,0.12987012987012986,0,0.0002226158354457432,0.002377219369617105,319,210,105,5,10,27,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,2,6,0.011508161043967704,0.01088305022152285,-0.007240634956285137,-0.00778604554859188,0.018708945885183785,4.136675736297647,0.003996003996003996,0,0.0016967656237838241,0.0041125244872652214,319,210,105,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy_bin,2,6,0.5550425537415857,0.48620170861091616,0.5193144004813646,0.5120519312278329,0.004938965321652167,3.1487036394088737,0.012987012987012988,0,0.000295324924228387,0.0014747784895677131,319,210,105,6,10,1,100,1000,
trial_by_trial,Faure,svm,top_ten,no_origin,occupancy_bin,2,6,0.47826948583823553,0.3518500771953682,0.41479388356238284,0.4095232102867697,0.002901234592225632,1.580004436668013,0.07092907092907093,0,-1.0887914093584638e-05,0.00184311033484212,319,210,105,5,10,27,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,2,6,0.08036814211716484,0.006717285584078982,0.024526424498050856,0.022262078279511606,0.02014846246184068,4.31383415117416,0.000999000999000999,1,0.0019314868920307115,0.0042229197812001145,319,210,105,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,3,8,0.3120284174664852,0.36976574679670565,0.3474635784538651,0.3410063683499065,-0.003337891270290383,-0.39100714550527826,0.6873126873126874,0,-0.0007014103987203353,0.006742794605871102,517,36,18,8,10,1,100,1000,
trial_by_trial,Faure,svm,top_ten,no_origin,occupancy,3,8,0.30720103803856974,0.40038728778608657,0.35515149059641055,0.35232425941509177,5.628790657696836e-05,0.044984858686033045,0.9600399600399601,0,-0.0002552353735172701,0.006925069661071551,517,36,18,7,10,13,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,3,8,0.01139915576089834,0.016605287183576553,0.013409534110340744,0.018440478267714045,-0.0019227847167899506,-0.08071569096977677,0.951048951048951,0,-0.0010720311882154064,0.010540125697407471,517,36,18,8,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy_bin,3,8,0.35205713402133476,0.4000198008941215,0.3802891264214828,0.3709783021839946,0.00040475315498939013,0.14578033638977475,0.8681318681318682,0,-0.00044763864323294796,0.005847097210307481,517,36,18,8,10,1,100,1000,
trial_by_trial,Faure,svm,top_ten,no_origin,occupancy_bin,3,8,0.33780138233958107,0.3918314352597224,0.36474517383166555,0.3594986636616418,0.0026944900529980442,0.4858087834692313,0.6033966033966034,0,-0.00046539407808823217,0.006504378345160999,517,36,18,7,10,13,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,3,8,0.01191365774823773,0.035015968943097206,0.020776210318513125,0.018791049949189963,0.0036811832118159235,0.4422271909470388,0.6333666333666333,0,-0.0005588306232320868,0.00958786325636814,517,36,18,8,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,4,6,0.6150473286320554,0.6582410772534728,0.6426139045423358,0.6384268322331317,-0.0038761654449696037,-1.434834567624502,0.11388611388611389,0,-0.0001678187421066799,0.0025845116827666243,49,577,24,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,no_origin,occupancy,4,6,0.36023445546383426,0.34778653637700097,0.3633393504887674,0.35898236262845296,-0.007150360638192577,-1.1717023265424111,0.17682317682317683,0,-7.440291644090768e-07,0.00610190527668068,49,577,24,5,10,40,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,4,6,-0.016433244701104924,0.0053889302121756,0.004510981825722151,0.004228322798839212,-0.009891809556745344,-1.1660703081912935,0.19480519480519481,0,-0.00011438663746747549,0.008384934296495169,49,577,24,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy_bin,4,6,0.5111122728735927,0.520295828325866,0.5218932260916516,0.5154370934388554,-0.0029611091655240562,-0.8028449460175758,0.3886113886113886,0,0.00032624746223521397,0.004094634516995893,49,577,24,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,no_origin,occupancy_bin,4,6,0.38735846218539083,0.38269813975086747,0.3909706205858057,0.3825311290529892,-0.001722573851268283,-0.36985846329454,0.6793206793206793,0,0.0005228809847896421,0.006071119249391727,49,577,24,5,10,40,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,4,6,0.04379890933119385,0.03254442841204467,0.04971985607798109,0.037581464860522835,-0.00547899159763271,-0.6792566513057868,0.4905094905094905,0,0.0011546097400841825,0.00976597185314949,49,577,24,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,5,5,0.5507978752726327,0.5528826599628937,0.5518385382800151,0.5573012830829822,-0.002729643063735465,-1.2352710684042718,0.13886113886113885,0,0.00030314145801291556,0.002455157090067805,94,623,47,5,10,5,100,1000,
