method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,2,8,0.2870454679444962,0.2418473206964792,0.25804151535697956,0.25980746627895207,0.005521903502521908,2.367331866292285,0.027972027972027972,0,-6.028280239262915e-05,0.0023580075038897507,552,111,55,8,10,2,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,2,8,0.10153166108886463,0.059314368584053104,0.07215328882232931,0.07009074468641074,0.00930099808208884,2.742636893605039,0.016983016983016984,0,9.318077135077825e-05,0.003357286315300351,552,111,55,7,10,46,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,2,8,0.008112372950999414,0.0026252840722594977,0.0014296129797295215,0.0010224094684679538,0.004142817287530718,1.3214558500019873,0.13086913086913088,0,-0.00015797288717807136,0.003254584838912569,552,111,55,8,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy_bin,2,8,0.2802510071376091,0.23428867253505417,0.2508216925448687,0.24889535594434128,0.0074113155917266416,3.153935970308312,0.00999000999000999,0,4.4948349042871426e-05,0.0023356109039726868,552,111,55,8,10,2,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy_bin,2,8,0.11797848644414778,0.06426859119067257,0.0819863326781322,0.07827333494925569,0.010993705003716228,3.211180778606169,0.011988011988011988,0,0.0001260694854630754,0.0033843113382642726,552,111,55,7,10,46,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy_bin,2,8,0.004512934585252804,0.011831698669937753,0.0006846917154236856,-0.0005555126019374607,0.008107727070852166,2.479019885896088,0.027972027972027972,0,6.290048688658424e-05,0.0032451641996641867,552,111,55,8,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,3,10,0.2887344414975357,0.23590291556856793,0.26127162462147874,0.2635418667303984,-8.806714288678297e-05,-0.39197063469590826,0.6793206793206793,0,0.0013908303967444747,0.0037729804447687513,681,72,36,10,10,3,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,3,10,0.1024026678240784,0.09047902150098994,0.09563799881641445,0.09704862496035116,9.753277415136541e-05,-0.27693718356423613,0.7722277722277723,0,0.0016012744495779332,0.005429901669660665,681,72,36,9,10,49,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,3,10,0.0046786014561404745,-0.004495322620051702,-7.642354262811059e-05,0.0009272019408537119,-0.00033374978106841453,-0.3751364774315744,0.7002997002997003,0,0.001782931167445025,0.005642429024779459,681,72,36,10,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy_bin,3,10,0.29889342555381887,0.2084160123216303,0.24664143339051572,0.24979420936760818,0.005436897558662612,1.1756469618482688,0.18281718281718282,0,0.001126178849035441,0.0036666778799395398,681,72,36,10,10,3,100,1000,
