method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Faure,svm,top_ten,full,occupancy,1,6,0.9239701721761958,0.9289686026937011,0.9370564710520681,0.9327602513779147,-0.008438973780042991,-0.5645372613061237,0.5084915084915085,0,0.0016399360498212385,0.017853400511678327,473,17,8,6,10,1,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,1,12,0.7625949602187719,0.7050158408169876,0.7765945040659612,0.7725686443094624,-0.040776173669831994,-1.270360742059122,0.17582417582417584,0,0.002468867035085582,0.03404154369161462,473,17,8,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,2,6,0.9948581751640063,0.9953821086050902,0.9856073781883736,0.9856751227360554,0.009478891422333824,3.77362074853668,0.005994005994005994,0,0.0004839604449178052,0.002383634068395463,319,210,105,6,10,1,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,2,12,0.9826824237222246,0.9769409289448326,0.9632913330516069,0.9623175689548351,0.01700722533030763,3.2179344608123164,0.016983016983016984,0,-0.0004070730406609598,0.005411638609498786,319,210,105,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,3,6,0.9693680481401961,0.9768203907612006,0.9768673011329674,0.9763782792629735,-0.003528570747272086,-0.48840300279980414,0.5304695304695305,0,-0.00025185538411652195,0.006709040166361725,517,36,18,6,10,1,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,3,12,0.8469403045480351,0.8976631978649546,0.8664346294731939,0.8776060415655625,0.00028141568711659293,0.08735114981926781,0.9270729270729271,0,-0.0016742869238629097,0.022388973871848402,517,36,18,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,4,6,0.9859713217242332,0.9873396565175148,0.990258621769994,0.9899210402548827,-0.003434341891564441,-1.1871398568583627,0.17482517482517482,0,-0.00014389507780525858,0.0027717431899447753,49,577,24,6,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,4,12,0.9288526389195738,0.9252601949071098,0.9239343715719522,0.9186734623543451,0.005752499950193002,0.511300367442022,0.5904095904095904,0,-0.0005465352912960685,0.012319637619277358,49,577,24,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,5,6,0.9903572419593841,0.9921621617625164,0.9934303161969754,0.9922081691056333,-0.0015595407903540304,-0.8369776408878751,0.3436563436563437,0,0.0005467128539633669,0.002516499296305049,94,623,47,6,10,2,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,5,12,0.9525941465544123,0.9421313015104477,0.948071530898147,0.9430170587077827,0.0018184292294651794,-0.03630247230936085,0.957042957042957,0,0.0021833481419338266,0.010052177971761726,94,623,47,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,6,6,0.9784964124301635,0.9674780311740718,0.971490222852407,0.9754785644052508,-0.0004971718267112735,-0.11316343862293572,0.8901098901098901,0,0.00031761546270754024,0.007200093063040543,33,657,16,6,10,2,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,6,12,0.8515076452849355,0.8556396009721587,0.8145660088524981,0.8146287597343,0.038976238835148,1.780695819462763,0.06393606393606394,0,-0.00017097526783347905,0.02198422306331478,33,657,16,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,1,6,0.9025432398369694,0.8893877374383361,0.9147228115885225,0.9230458232777492,-0.022918828795483126,-1.1879032771379312,0.15084915084915085,0,0.001028064121733399,0.020158958543251816,473,17,8,6,10,1,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,1,12,0.8232110562903753,0.8028268810904627,0.8400829873999475,0.8352804071556602,-0.02466272858738483,-0.922533263801831,0.3196803196803197,0,-0.00045922389162279884,0.02623591543573997,473,17,8,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,2,6,0.9947246677619419,0.9924646626624548,0.9863506333103669,0.986663026930692,0.0070878350916688815,3.0138785173690357,0.014985014985014986,0,0.00032332284611798456,0.00224445418306242,319,210,105,6,10,1,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,2,12,0.986502762218096,0.9841764552387042,0.9767718421342566,0.9771848681540175,0.008361253584262984,2.7750975237610715,0.017982017982017984,0,-0.0005621508134612173,0.0032155282188535018,319,210,105,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,3,6,0.9478570344096855,0.9383678555160188,0.9414479978970551,0.9354019407642399,0.0046874756322046185,0.3686580615416321,0.7412587412587412,0,8.139998880801026e-05,0.012494167696035719,517,36,18,6,10,1,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,3,12,0.8896376106266816,0.9069948422339492,0.8953297548303497,0.8979853697331863,0.0016586641485473175,0.14187236508245996,0.8731268731268731,0,-0.0006698009478294574,0.016412393597748296,517,36,18,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,4,6,0.975201591349583,0.9712482887970394,0.9753571377159359,0.9715118673466157,-0.00020956245796466266,-0.09684157567369066,0.9210789210789211,0,0.00035314627362332564,0.005810611069403135,49,577,24,6,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,4,12,0.9430542826223548,0.9421025335140767,0.9360890997481031,0.9307457668274448,0.009160974780441866,0.9868779643282913,0.25774225774225773,0,0.0005234605227217007,0.008752363078244637,49,577,24,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,5,6,0.9739980561355297,0.9739014514445243,0.9735948294422576,0.9717133473727428,0.0012956653825267894,0.10897422737734663,0.9180819180819181,0,0.0005657354310446483,0.006698188819954668,94,623,47,6,10,2,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,5,12,0.9534385262995698,0.9498318924328413,0.9542426117272496,0.9512386175634907,-0.001105405279164584,-0.31503480376559856,0.7522477522477522,0,0.0017431050390176192,0.009041890877242996,94,623,47,12,10,0,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,6,6,0.9470447744872904,0.9295773074439129,0.9282176711530703,0.9294392544122374,0.009482578182947843,0.6482123054145406,0.45854145854145856,0,0.0007457326008351111,0.013478370449208613,33,657,16,6,10,2,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,6,12,0.8883735879751362,0.8685201346944216,0.856479712414769,0.859999861407616,0.02020707442358649,1.34535547005191,0.15284715284715283,0,-0.0005755663508149906,0.015447694856140582,33,657,16,12,10,0,100,1000,
