method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Faure,svm,top_ten,no_origin,occupancy,1,6,0.7786752031164678,0.6736216050930477,0.789629960101982,0.7843991059567125,-0.060866128924589535,-1.801037242979772,0.057942057942057944,0,0.0019025382818164422,0.03485139879870377,473,17,8,5,10,49,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,1,12,0.752558933947248,0.7002948830093909,0.7639271529684071,0.7638664706778323,-0.03746990334480027,-1.1483358987744499,0.22577422577422576,0,0.0012105158741960013,0.03368388923509016,473,17,8,11,10,2,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,2,6,0.9909636788347419,0.9864146166757146,0.9896273050867416,0.9888453673036897,-0.0005471884399874671,-0.11009922049133537,0.922077922077922,0,-0.00010144562092843957,0.004048555630728619,319,210,105,5,10,29,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,2,12,0.9844331070924188,0.9757946407169418,0.9736459766558555,0.9709214942756824,0.007830138438911338,1.977728235866406,0.04695304695304695,0,-0.0008898239536770551,0.0044090801933503974,319,210,105,11,10,3,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,3,6,0.8554519803608058,0.9129387905983666,0.8984232366547615,0.8895827232833092,-0.009807594489449234,-0.2838402793672452,0.7542457542457542,0,-0.0021122431842678733,0.027111554858726628,517,36,18,5,10,56,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,3,12,0.8270823841313115,0.8936402529767387,0.8412734930788287,0.854860488221043,0.012294327904089242,0.5214695765697313,0.5504495504495505,0,-0.001609221717026261,0.026662245020264014,517,36,18,11,10,5,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,4,6,0.9510872154156854,0.942461638054854,0.9582592681281281,0.955292272372653,-0.01000134351512083,-0.777174188303287,0.32967032967032966,0,-0.0009828681524104693,0.011604187965119297,49,577,24,5,10,45,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,4,12,0.8871448083368645,0.9098205770047908,0.8913225711885153,0.8912621451283765,0.007190334512381602,0.45357578385114444,0.6083916083916084,0,-0.00039138724411410343,0.016715446517276796,49,577,24,11,10,6,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,5,6,0.8984099495318216,0.9105170123444546,0.9268984592980722,0.9104896640365464,-0.014230580729171272,-0.6435863481167644,0.4755244755244755,0,0.006186678173040994,0.031724195147949295,94,623,47,5,10,104,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,5,12,0.8614236555155516,0.8948267843165709,0.8992293482164527,0.8945940241595481,-0.01878646627193925,-0.9808637926026192,0.2757242757242757,0,0.0017169894230826166,0.02090346880948485,94,623,47,11,10,12,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,6,6,0.8880187935631497,0.8178230415752439,0.8124021788272432,0.8201627418883725,0.03663845721138892,1.0896011379233377,0.22077922077922077,0,0.0007193989618216,0.03296532740230537,33,657,16,5,10,114,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,6,12,0.7764968684152757,0.762628369363879,0.6739930214218276,0.6698632904928334,0.09763446293224687,3.0068304216691897,0.01098901098901099,0,-0.00024223070044209605,0.03255145116509577,33,657,16,11,10,14,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,1,6,0.8184436426862978,0.8178919610315846,0.8445193328857328,0.8585615700700048,-0.03337264961892772,-0.8990317897646011,0.25574425574425574,0,0.0024895677700632543,0.039889821246900506,473,17,8,5,10,49,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,1,12,0.8003268576373227,0.7867778123139041,0.8224114987806058,0.8183981036076541,-0.026852466218516557,-0.8694325736907704,0.35064935064935066,0,-0.00041084992486872465,0.030412497867893636,473,17,8,11,10,2,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,2,6,0.9934642728323719,0.9883826380544641,0.9929441218131003,0.9918320900694684,-0.00146465049786626,-0.4191247373786701,0.6603396603396603,0,-0.0002169079384070639,0.0029770196034310608,319,210,105,5,10,29,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,2,12,0.9864647517867599,0.982918555748791,0.9775718083904877,0.977825363710699,0.006993067717182111,2.4119035944598597,0.028971028971028972,0,-0.0008723080971107384,0.0032610655883425895,319,210,105,11,10,3,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,3,6,0.8942199461082626,0.9113461363784481,0.9001444625653424,0.8931315979141088,0.00614501100362963,0.2361065023009587,0.8071928071928072,0,7.194740967697565e-07,0.026023389740028824,517,36,18,5,10,56,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,3,12,0.8733095801710588,0.8951194280696232,0.8749975449733661,0.8807238459476606,0.006353808659827598,0.33945074166411077,0.7152847152847153,0,-0.000402319450121837,0.019903117833322274,517,36,18,11,10,5,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,4,6,0.9692090742197369,0.962414276513233,0.9644110948133993,0.9575113257355351,0.004850465092017808,0.45476967369314375,0.5814185814185814,0,0.0004290121939577498,0.009722400489359451,49,577,24,5,10,45,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,4,12,0.9250025954067455,0.9321682368484477,0.9191250329778694,0.9134194267006238,0.012313186288349987,0.9982750031351182,0.25774225774225773,0,0.001105791165319764,0.011226761250990959,49,577,24,11,10,6,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,5,6,0.9554808425308159,0.9357619025206501,0.9592134661605236,0.9546279696858597,-0.011299345397458693,-0.7371025939587155,0.3986013986013986,0,0.0020793150871586856,0.01815033700093953,94,623,47,5,10,104,100,1000,
