method,monkey,source,scope,variant,feature,maze,k,reason_skipped,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm
trial_by_trial,Faure,dendro,publication,full,occupancy,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,full,occupancy,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,full,occupancy,2,6,,0.5485711107030924,0.5366913847595447,0.5452677500495873,0.5536871873683313,-0.00684622097764076,-0.6319789283361839,0.4995004995004995,0,0.00013409043958493184,0.011045164805736191,68,22,11,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy,2,12,,0.323512113659691,0.18596857242774043,0.25707110512118286,0.25858945920378895,-0.003089939118770202,-0.3391459924797661,0.7562437562437563,0,0.0012746692564366943,0.01286940866761766,68,22,11,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,full,occupancy,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,full,occupancy,4,6,,0.5674381935492806,0.6638839014218801,0.6375824154078618,0.6005790065619121,-0.0034196634993065578,-0.43852526447730344,0.6633366633366633,0,0.003647044667374981,0.016114711600720755,13,96,6,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy,4,12,,0.2865854039918829,0.3245720707767955,0.32229312532617144,0.2996427530641445,-0.005389201810818756,-0.5168969173182528,0.6193806193806194,0,0.005350930420350528,0.020778093022668576,13,96,6,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy,5,6,,0.6503450651741894,0.5324365242158992,0.5656651125730029,0.5750094127067862,0.021053532055149704,2.2569802237252707,0.030969030969030968,0,-3.598128417382368e-05,0.009344128547353472,19,130,9,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy,5,12,,0.37070652891442946,0.19922651816796283,0.256145026253976,0.2699487055580337,0.02191965763519127,1.5427865704948602,0.09290709290709291,0,0.002080695421591008,0.012859174815889645,19,130,9,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy,6,6,,0.48365671788228015,0.5546915674070312,0.5086437742384105,0.520272990073452,0.004715760488724463,-0.013781506644735125,0.995004995004995,0,0.005033232235696822,0.023036069651618293,11,109,5,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy,6,12,,0.19105067380793767,0.25460224548441646,0.21231593670896312,0.2094964938265986,0.0119202443783962,0.18923162205081798,0.8601398601398601,0,0.006939468032733539,0.026321057187392697,11,109,5,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,2,6,,0.530466251160443,0.5263832089895971,0.5244595935695879,0.5381597424939943,-0.0028849379567711386,-0.2885191973353762,0.7742257742257742,0,0.0005028187613939284,0.011741876275314606,68,22,11,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,2,12,,0.3525787697673298,0.2513095661279167,0.30103664464634927,0.306635373731962,-0.0018918412415324104,-0.20237425865586264,0.8441558441558441,0,0.0004404776433293145,0.01152478037647976,68,22,11,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,4,6,,0.4876647323246291,0.5334585080492126,0.5293580599031611,0.4813176464189886,0.005223767025846038,-0.06869377982720824,0.9560439560439561,0,0.0068219611946755045,0.023265485941369814,13,96,6,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,4,12,,0.3249508149232286,0.32870350106298135,0.33156648226038454,0.3049928184586368,0.008547507633594298,0.24536658433373518,0.8071928071928072,0,0.0037904687593229972,0.019387476445451995,13,96,6,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,5,6,,0.4425786683714372,0.39682308685214474,0.38615179607407496,0.4025979286945203,0.025326015227493337,1.748877206024328,0.06293706293706294,0,2.1475824118509123e-05,0.014469020075399635,19,130,9,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,5,12,,0.34876574983447656,0.22998992566556442,0.26968316128344694,0.2687536634852329,0.02015942536568055,1.4474188149926988,0.10589410589410589,0,0.0011556625027248223,0.013129415388352257,19,130,9,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,6,6,,0.3800703525548477,0.4302139330822365,0.3470858178235891,0.3518714423485587,0.05566351273246817,1.8558886105273635,0.04795204795204795,0,0.005705248273187557,0.02691878390540078,11,109,5,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,full,occupancy_bin,6,12,,0.2064923965302678,0.2535093553491265,0.21852097405705556,0.21514183656508465,0.013169470628627056,0.2804705289034121,0.7972027972027972,0,0.0058237835351442,0.026190584523098144,11,109,5,12,2,0,100,1000
