method,monkey,source,scope,variant,feature,maze,k,reason_skipped,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,2,6,,0.06595160066796273,0.09718803827475261,0.06937922649289442,0.07520941069348393,0.009275500878168488,0.3756343387092495,0.6843156843156843,0,0.0007346023348489403,0.022737267771279077,68,22,11,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,2,12,,0.0984379346163657,0.02926567890450374,0.05415364262433909,0.05813524200996468,0.007707364443282842,0.31238474602641464,0.7622377622377622,0,0.002173775975271781,0.01771401625207126,68,22,11,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,4,6,,0.03956455344825087,0.01736555937951959,0.021580523151753298,0.01075644846035592,0.012296570607830619,-0.18372010431739066,0.8531468531468531,0,0.02122046420180618,0.04857331007475832,13,96,6,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,4,12,,-0.024283506807267038,0.01849037375334131,0.020389264922540964,0.009107113154832234,-0.017644755565649463,-0.8953741292221008,0.3596403596403596,0,0.012039946916855115,0.03315340650761776,13,96,6,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,5,6,,0.008798253670989456,0.037142704165039314,-0.03742696981063945,-0.01991241169798206,0.05164016967232514,2.115657382023535,0.04595404595404595,0,0.0005460280715166466,0.024150480146241427,19,130,9,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,5,12,,0.05185947909359299,0.032169357265667414,-0.009474282130129321,0.003107437640907233,0.04519784042424124,2.3632148513404307,0.03596403596403597,0,0.0026169727966359807,0.018018195680961094,19,130,9,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,6,6,,0.11920632120955457,0.004584136514593063,0.038314488967401084,0.044500973966232094,0.02048749739525723,0.09370241443439072,0.926073926073926,0,0.015748418376591394,0.05057584745571398,11,109,5,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy,6,12,,0.038583978183464346,0.018160879911257446,-0.007282534181999531,-0.0067826589642342415,0.03540502562047779,0.545171410303238,0.5994005994005994,0,0.014968980218314344,0.037485541273700324,11,109,5,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,2,6,,0.08961862428055621,0.023501659002415812,0.05387040492772458,0.05751917029168144,0.0008653540317830055,-0.03834424856149517,0.968031968031968,0,0.001938493916401964,0.027986984355630132,68,22,11,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,2,12,,0.04931676775228044,-0.01046817717636152,0.016158449694496382,0.022253609055884027,0.00021826591276925475,-0.04375446557604486,0.965034965034965,0,0.0009783679702079738,0.01737198814867636,68,22,11,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,4,6,,0.15440285476410645,0.06039310468709119,0.11301052947684573,0.08654934294038176,0.007618043516985071,-0.2020900312345212,0.8681318681318682,0,0.018089677027542907,0.051816675204556364,13,96,6,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,4,12,,0.04500712331390672,0.0201921505748051,0.0354778549537034,0.02400700299444458,0.0028572079702819247,-0.18990386168636664,0.8501498501498501,0,0.008273723902286059,0.028522410676143667,13,96,6,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,5,6,,0.058251024127481704,0.026737718596773683,-0.04620326443763457,-0.015267947572509967,0.07322997736719997,2.9356706603345106,0.017982017982017984,0,-4.0196075318449305e-05,0.02495858082192691,19,130,9,6,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,5,12,,0.07245759506815194,0.022467138072901047,-0.012492595950056157,-0.0044724255391194526,0.0559448773151143,3.1513229795416096,0.00999000999000999,0,0.0012789284779055538,0.017346983851576025,19,130,9,12,2,0,100,1000
trial_by_trial,Faure,dendro,publication,mean_removed,occupancy_bin,6,6,,0.21884821005620464,0.022322281467492405,0.046812452013387074,0.03506454482350665,0.07964674734340166,1.4560877460931905,0.0999000999000999,0,0.009404948212807714,0.048240086711160625,11,109,5,6,2,0,100,1000
