method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Nielsen,dendro,publication,full,occupancy,1,6,0.29084218407102197,0.3871098825695592,0.3374282379476295,0.3030004025426202,0.01876171307516572,1.0555316274578868,0.2887112887112887,0,0.0021240750044051343,0.015762330221056674,109,18,9,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy,1,12,0.26338365548273174,0.2832768230658861,0.27076210221182956,0.25848762483633825,0.008705375750225008,0.5444996138953802,0.5804195804195804,0,0.0021742184434222463,0.011994787765005935,109,18,9,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy,2,6,0.3089106266105559,0.4581753818622662,0.3693052255311777,0.3747666673842518,0.011507057778696317,1.2757062252789337,0.14885114885114886,0,-0.0013028244953259564,0.010041404533572286,129,26,13,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy,2,12,0.3268067387414366,0.42232458359650143,0.3750270653480007,0.3703087229628892,0.001897767013524121,0.4810959272445622,0.6203796203796204,0,-0.001387703497529396,0.0068291380678917445,129,26,13,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy,3,6,0.33389109797811045,0.33321588904055477,0.3456691048577389,0.33526396044067863,-0.006913039139876176,-0.5826704083036751,0.5504495504495505,0,0.0009595220609546907,0.01351117387915787,139,20,10,6,2,1,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy,3,12,0.33758880940584324,0.35902981894638414,0.33837645549710205,0.333743133748554,0.012249519553285626,0.949232690014962,0.3146853146853147,0,0.002248789065496022,0.010535594267862783,139,20,10,12,2,1,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy,4,6,0.39070449647644234,0.3942931619498595,0.3919871536813547,0.3910684737381515,0.0009710155033978429,0.15972392348482997,0.8701298701298701,0,0.00019414805910437737,0.004863813931838769,65,101,32,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy,4,12,0.385002143857213,0.37818702749734145,0.3722812163712582,0.3734891763831133,0.008709389300091464,2.3926383905277433,0.023976023976023976,0,-6.300301250066198e-07,0.0036403408741992574,65,101,32,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,full,occupancy,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,full,occupancy,6,6,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,full,occupancy,6,12,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,1,6,0.2587265617212951,0.32667969134658087,0.2542845301350451,0.24375701994677548,0.04368235149302768,1.9505595876256654,0.05194805194805195,0,0.004582348147795786,0.020045531340484035,109,18,9,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,1,12,0.2899610800550081,0.33054708768670116,0.2851021615698807,0.28767842170042157,0.02386379223570345,1.48823892549506,0.1038961038961039,0,0.004038086686426988,0.013321587824133466,109,18,9,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,2,6,0.2773914540657877,0.23149465226493057,0.2609460526667801,0.2607630768135348,-0.006411511574798301,-0.5901614304789797,0.5554445554445554,0,0.0005993977444573048,0.011879646749475808,129,26,13,6,2,1,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,2,12,0.29036189172513466,0.21485533735256174,0.25101079082327454,0.2450695163645142,0.004568460944953834,0.4569644118507066,0.6673326673326674,0,0.0006452989689248405,0.008585268074028306,129,26,13,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,3,6,0.30683524722973277,0.33142394048695034,0.32488351235379803,0.3220393830540155,-0.004331853845565226,-0.5736909577855388,0.5864135864135864,0,0.0041644291707697255,0.014809860432750782,139,20,10,6,2,1,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,3,12,0.3181385383236057,0.382835654698997,0.35309140592608834,0.34501120112186057,0.0014357929873269337,-0.31676709621064114,0.7582417582417582,0,0.004910813067460167,0.010970268445503074,139,20,10,12,2,1,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,4,6,0.33762228808457295,0.37083598170795823,0.346889222023763,0.34673401216591954,0.007417517801424356,1.1600529071120143,0.1838161838161838,0,0.0008067261419545941,0.005698698411891852,65,101,32,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,4,12,0.36627125221916357,0.3320156141350109,0.32773176173520646,0.3286246193577661,0.020965242630600955,4.905521848888255,0.000999000999000999,1,0.0006016234759361432,0.004151162665656019,65,101,32,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,6,6,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,full,occupancy_bin,6,12,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
