method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,1,6,0.013625275131521912,0.01627674756937415,0.006748096281126171,0.0035417642294938378,0.009806081095138027,0.42435409785103045,0.6843156843156843,0,0.0009427589133400792,0.02088661857322141,109,18,9,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,1,12,0.006326125079608156,0.035969717082698506,0.0020592504206584975,0.005157157967299085,0.01753971688717454,0.868635566564875,0.3776223776223776,0,0.0032797331894468826,0.01641653214146008,109,18,9,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,2,6,0.015187525811220135,0.13267386697019914,0.055175132583738386,0.051927711502100266,0.020379274347790313,1.6923137163373512,0.07792207792207792,0,-0.002550820190750591,0.013549553086509373,129,26,13,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,2,12,0.007719008805177525,0.0764626317551215,0.02351189436213189,0.01874494081308091,0.02096240269254311,2.2764074308828612,0.03696303696303696,0,-0.0020563805672262807,0.010111890757113719,129,26,13,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,3,6,0.01044016027740712,-0.008780220666556801,0.009009267480299126,0.012126987237557573,-0.009738157553503188,-0.4394892197272466,0.6383616383616384,0,-0.0012805634265760696,0.019244144673619127,139,20,10,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,3,12,0.00921843937988208,0.05345157371426589,0.010236759676860855,0.008649002324220003,0.02189212554653356,1.274653797068476,0.15684315684315683,0,0.0014245523031462108,0.016057358704347706,139,20,10,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,4,6,0.003029172631218225,0.04238687468262864,0.026753140658722835,0.026991557669038796,-0.004164325506957382,-0.5115452228530493,0.5974025974025974,0,2.7695298365649392e-05,0.008194819574196799,65,101,32,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,4,12,0.018140785690917705,0.02873946415343158,0.0076907038338530475,0.008689081343454325,0.015250232333520956,2.4439711392776657,0.025974025974025976,0,-0.0001476467529791122,0.0063003522582721775,65,101,32,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,6,6,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy,6,12,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy_bin,1,6,0.023388221169238065,0.080987055739482,-0.0001705337978959949,-0.009403892377029256,0.05697485154182266,1.7825841876906083,0.053946053946053944,0,0.007095316246132681,0.027981587428030776,109,18,9,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy_bin,1,12,0.010615185285960721,0.06396146367083444,0.001879458443008757,0.0002219558496721337,0.03623761733205714,1.5349796223259498,0.08491508491508491,0,0.005800667249083128,0.019828895211555314,109,18,9,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy_bin,2,6,0.042342098063726935,0.04213794258010884,0.05061878278761754,0.04809109320677259,-0.00711491767527718,-0.5240228211843775,0.6003996003996004,0,0.0005274053954283483,0.014583950854339939,129,26,13,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy_bin,2,12,0.01674383731251142,0.011691474182295327,0.005790191867517102,0.0001527595344059246,0.011246180046441862,0.8099062666998541,0.42857142857142855,0,0.001724577450956986,0.01175642538769677,129,26,13,12,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy_bin,3,6,0.01105690100499138,-0.009499007357773674,0.010913141033625024,0.008825410430397071,-0.009090328908402195,-0.5844278825856293,0.5634365634365635,0,0.0033457652439665485,0.021279091095635107,139,20,10,6,2,0,100,1000,
trial_by_trial,Nielsen,dendro,publication,mean_removed,occupancy_bin,3,12,0.010339172472781408,0.02443996808348105,0.018580231649558812,0.014153826774319353,0.0010225410661921473,-0.31255213260091835,0.7582417582417582,0,0.006533098164582574,0.017630841461659684,139,20,10,12,2,0,100,1000,
