method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,1,6,0.0493740789064164,0.13133112520564472,0.056895584955727364,0.04361488123130139,0.040097368962516186,1.330103579355368,0.14085914085914086,0,0.0036582924129391725,0.027395668363840612,109,18,9,5,2,7,100,1000,
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,1,12,0.0673468757283061,0.12275501794647843,0.06342964655679897,0.06752861550176968,0.029571815808107943,1.3885802113373695,0.13986013986013987,0,0.005802929477011568,0.017117402464063694,109,18,9,11,2,2,100,1000,
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,2,6,0.06725589021942736,0.07117352639790911,0.06268059258444593,0.06044994574379164,0.007649439144549464,0.350639989358802,0.7202797202797203,0,0.0013840524233619002,0.017868431757155728,129,26,13,5,2,13,100,1000,
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,2,12,0.07549420574438509,0.00924684782225334,0.04589434019814949,0.04312722187170672,-0.0021402542516088877,-0.2325106571890408,0.8241758241758241,0,0.00043081596226216933,0.011057859648044737,129,26,13,11,2,5,100,1000,
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,3,6,0.07256736965863363,-0.009838110294874696,0.04212089383072208,0.049758909455241154,-0.01457527196110215,-0.7879384687178674,0.4245754245754246,0,0.005411637004235685,0.025366078391705522,139,20,10,5,2,19,100,1000,
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,3,12,0.09248692185669809,0.210452966442697,0.12538436761882618,0.12657468532254332,0.025490417679012806,1.2669368797386764,0.15684315684315683,0,0.004581242141251027,0.016503723170545475,139,20,10,11,2,10,100,1000,
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,4,6,0.06775612580789984,0.0736862097453692,0.05968629118277484,0.06585413399032054,0.00795095519008683,0.664772070000538,0.4915084915084915,0,0.0008037337879383766,0.010751386414508464,65,101,32,5,2,34,100,1000,
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,4,12,0.13506754867479956,0.062297020866531855,0.06914649020543978,0.07450321234517947,0.026857433495356076,3.889992872975048,0.004995004995004995,0,0.0007157865782033011,0.006720230028894569,65,101,32,11,2,18,100,1000,
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
trial_by_trial,Nielsen,dendro,publication,no_origin,occupancy,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
