method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Faure,svm,top_ten,full,occupancy,1,6,0.574152110188433,0.5817814592017682,0.5844853232964314,0.575101192473874,-0.0018264731900521358,-0.2372572360925312,0.8031968031968032,0,0.0008074833428476127,0.011101691043355557,473,17,8,6,10,1,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,1,12,0.3012905471292093,0.22583735217078144,0.27430603913457896,0.2701772406012848,-0.008677690217936518,-0.7084066994202077,0.4775224775224775,0,0.00036805250558047376,0.01276913774378537,473,17,8,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,2,6,0.5531844131523034,0.5767380648261013,0.5611236502264138,0.5576428400513984,0.005577993850296337,2.855454090703652,0.014985014985014986,0,0.0006318388660247297,0.0017321780799679244,319,210,105,6,10,1,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,2,12,0.3249658933483912,0.28884151887373904,0.3009513075073434,0.29992988418926075,0.006463110262763028,3.2255442717203833,0.01098901098901099,0,0.00043972984816526115,0.0018673997028678584,319,210,105,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,3,6,0.5347905811969893,0.5677273023149106,0.5567881577715292,0.5509162117380599,-0.0025932429988446692,-0.4494479313725489,0.6093906093906094,0,-0.0002841391320156547,0.005137644887534237,517,36,18,6,10,1,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,3,12,0.23737432743238526,0.3236456731579681,0.2768608073442183,0.2768065798948431,0.0036763066756460017,0.6295076943858864,0.4935064935064935,0,-0.0003932436270197661,0.006464655379051086,517,36,18,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,4,6,0.625074030713819,0.6624576068412503,0.6514384201130136,0.6449599918220923,-0.004433387190018401,-1.6748744587859414,0.07192807192807193,0,-0.00018582316035987867,0.002536049199017241,49,577,24,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,4,12,0.3066011793133685,0.3376284400326726,0.3267978418580424,0.3135599603082264,0.0019359085898861261,0.4798052028155464,0.6253746253746254,0,-0.00016159998612482195,0.004371583642075058,49,577,24,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,5,6,0.5629952731259227,0.5926912047145195,0.5769447484873278,0.5825420859231715,-0.001900178285028531,-1.0015742411911404,0.23376623376623376,0,9.546693168913545e-05,0.0019925085277196315,94,623,47,6,10,2,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,5,12,0.2816230721153151,0.2356937943815209,0.255197887584889,0.25744053178228965,0.002339223564828685,0.6246270927539738,0.5324675324675324,0,0.0005357910482348795,0.0028872146877947486,94,623,47,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,6,6,0.6648169359207984,0.5574103401654853,0.6054875024476385,0.6078335350140968,0.004453119312274323,0.7491261251578653,0.41058941058941056,0,0.00020510476767830478,0.005670626616714005,33,657,16,6,10,2,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy,6,12,0.257729089400492,0.25825737245352454,0.24748461318066542,0.25238450665535966,0.00805867100899571,1.1753977379654952,0.1978021978021978,0,0.00010766945681285706,0.006764520038931928,33,657,16,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,full,occupancy_bin,1,6,0.5244709726965123,0.482677123805898,0.5128605012709996,0.5250432078785929,-0.015377806323590981,-1.3004611962284847,0.12087912087912088,0,0.0006601059265632198,0.012332480428225264,473,17,8,6,10,1,100,1000,
