method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,1,6,0.03239104423804729,-0.014434113830174853,0.0035176965129916486,0.008678040932684107,0.0028805964810983426,0.020962593729545235,0.99000999000999,0,0.0023537846405863976,0.02513104281410761,473,17,8,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,1,12,0.03750221104741958,-0.010430078977186626,0.02319177417005146,0.014229305944450725,-0.005174474022134615,-0.2925771329404978,0.7702297702297702,0,0.0001898206720830583,0.01833463415375194,473,17,8,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,2,6,0.10774879434831294,0.014331334815179763,0.04145936513736967,0.03717538940327112,0.02172268731142596,5.03258179234896,0.002997002997002997,0,0.0016072653418578785,0.003997038259795316,319,210,105,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,2,12,0.07874584910991299,0.013651422866139367,0.03718477576114992,0.03198644888865415,0.011613023663124139,3.9750431459292,0.005994005994005994,0,0.0007335027324302165,0.002736956689850153,319,210,105,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,3,6,0.013408278218247442,0.006275295019835576,0.012224868269784977,0.015867550780353498,-0.00420442290602773,-0.3043923227964085,0.7652347652347652,0,-0.00041884197611981024,0.012436519078833303,517,36,18,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,3,12,0.01847615487701145,0.02155204758676719,0.014001256138602383,0.019146016559977778,0.003440464882599241,0.490015682629053,0.6043956043956044,0,-0.0008232344010950838,0.008701148626138952,517,36,18,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,4,6,0.011357991736261473,0.04076392214397502,0.040662330308197915,0.03314134193988955,-0.010840879183925487,-1.316974994722527,0.12987012987012986,0,-0.0004005511665151,0.007927506641544136,49,577,24,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,4,12,0.020097949080222013,0.01487397440079813,0.018360281404314862,0.014913289819451711,0.0008491761286267829,0.13572050474877506,0.9020979020979021,0,-8.708693465871015e-05,0.006898464347878453,49,577,24,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,5,6,-0.002310636096569916,0.015642020623388698,0.010707903824018634,0.010810083831769356,-0.004093301564484604,-0.8988395410705368,0.26873126873126874,0,0.000841590532654227,0.005490292618036441,94,623,47,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,5,12,0.02538613965399713,0.012751687926365642,0.012537087770075223,0.01208293868545425,0.00675890056241665,1.3667724846702225,0.11488511488511488,0,0.0009879084219208355,0.004222350248650381,94,623,47,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,6,6,0.009118071375753507,0.008131553703496166,0.00011991632776126269,0.008076699169737371,0.00452650479087552,0.21767886226492072,0.8361638361638362,0,0.0014573974651642012,0.014099243692187884,33,657,16,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy,6,12,0.027110274733012057,0.009512122002094201,0.008288090952420953,0.011922513194356997,0.008205896294164152,0.7307006413436083,0.41858141858141856,0,0.0007055432769524819,0.010264604398622207,33,657,16,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,1,6,0.033599448870899586,-0.047347188633929706,0.0239363402333737,0.019278959809663952,-0.028481519903033888,-1.0781715870224686,0.19080919080919082,0,0.0011658520126222292,0.027497823419305407,473,17,8,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,1,12,0.023395940933405315,-0.038278465764777315,0.015775045577290793,0.01017182293700095,-0.02041469667283187,-1.1427687348277102,0.22577422577422576,0,-0.0003188546139427933,0.017585222142010064,473,17,8,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,2,6,0.14945703518472667,0.04066558809546354,0.08185181631099239,0.0796594364926763,0.014305685238260757,3.817806002563777,0.003996003996003996,0,0.001011397630723578,0.0034821799742076067,319,210,105,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,2,12,0.05713021561084565,0.011218243166824985,0.028633158277207135,0.02639936218122526,0.006657969159619123,3.4605330935579652,0.007992007992007992,0,-0.0002362137577368328,0.0019922314657790673,319,210,105,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,3,6,0.016795010410439928,0.07391746692094765,0.03808251762955199,0.036525850263531064,0.008052054719152262,0.5892261497695115,0.5294705294705294,0,0.0006312968572600057,0.012594074218863242,517,36,18,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,3,12,0.00899769603634297,0.03476109003777103,0.01996115314350132,0.0208428264148268,0.0014774032578929383,0.24700267450205907,0.8041958041958042,0,-0.0005730288193391004,0.008301254556719167,517,36,18,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,4,6,0.09844846797102606,0.07243860031234067,0.09697358143728563,0.08040738458662208,-0.00324694887027048,-0.46822751718341576,0.6433566433566433,0,0.0009868797095826548,0.009042246396199402,49,577,24,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,4,12,0.04677875503975093,0.023693455429696374,0.03244656608394445,0.02620127501092824,0.005912184687287308,0.7244085888463815,0.4405594405594406,0,0.0008166439915134832,0.007034069963041794,49,577,24,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,5,6,0.0010710677147853873,0.0070235608317967555,-2.940494153511882e-05,-0.00019593412570059198,0.004159983806908928,0.7369605965566559,0.39760239760239763,0,0.00031377048195854984,0.0052190216721508115,94,623,47,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,5,12,-0.0019279987284879382,0.009668001480587924,0.00582797880412646,0.005350164500723438,-0.0017190702763749555,-0.6431946557636107,0.4825174825174825,0,0.0006244914392372718,0.003643627468934602,94,623,47,12,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,6,6,0.02815082579349041,0.005684073066886458,0.0031902771293445824,0.001441377475297571,0.014601622127867357,0.8927122696085787,0.24575424575424576,0,0.001052333548053171,0.015177665907689436,33,657,16,6,10,0,100,1000,
trial_by_trial,Faure,svm,top_ten,mean_removed,occupancy_bin,6,12,0.026404383922539177,0.006845112944163469,0.010286152306681055,0.013373227839205819,0.0047950583604078854,0.5506145580265457,0.5754245754245755,0,-8.414090418765116e-05,0.008861369888371723,33,657,16,12,10,0,100,1000,
