method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,1,6,0.2508145984573801,0.2903731253607415,0.26899481019315064,0.26317916191324137,0.004506875855864734,0.38437714868346873,0.6743256743256744,0,-4.1805928786785766e-05,0.011833902718283912,599,26,13,6,10,1,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,1,12,0.25268850067401016,0.22411796557575583,0.2402603551556532,0.2329965012687564,0.001774804912678174,0.23359570929079895,0.8091908091908092,0,-7.182485339989525e-05,0.007905238378241076,599,26,13,12,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,2,6,0.2714286426821399,0.23178005751019135,0.2483522118716077,0.24981119952551992,0.002522644397601803,0.9915501216508932,0.2897102897102897,0,-7.927907818700908e-05,0.0026240967743079986,552,111,55,6,10,2,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,2,12,0.27793825375307873,0.22566806114154211,0.2467746541577625,0.24906154172825473,0.003885059504301791,2.091083177766473,0.04195804195804196,0,-4.137694971672637e-05,0.0018777045771141544,552,111,55,12,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,3,6,0.316988229711133,0.2656915640884564,0.2871198101561292,0.28848933870443777,0.0035353224695111596,0.7275618837070164,0.4075924075924076,0,0.0005465321267619661,0.004107953439672984,681,72,36,6,10,7,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,3,12,0.326199889711677,0.2878672625199264,0.3039728050960787,0.3056742534675764,0.0022100468339741886,0.8125847033009871,0.37362637362637363,0,-5.256453858771695e-05,0.0027844621777525862,681,72,36,12,10,2,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,4,6,0.30766415515986967,0.3676376200408493,0.3329250534922826,0.3303278806046763,0.006024420551880072,4.062950126934889,0.004995004995004995,0,0.000429731021437527,0.0013770017735027448,350,386,175,6,10,4,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,4,12,0.27626668111160163,0.3562751531748568,0.3101657883581858,0.3082237530650536,0.007076146431609476,6.837780050920384,0.000999000999000999,1,0.0003308169342029648,0.0009864794490572378,350,386,175,12,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,5,6,0.43756813660342236,0.41954760476699393,0.42422296243375845,0.43152686838481785,0.0006829552759199942,0.0668507044315046,0.9430569430569431,0,0.0004866287179790898,0.002936791161895101,80,787,40,6,10,1,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,5,12,0.44087569833369566,0.4456574486180838,0.43781244546862697,0.4498531242704766,-0.0005662113936620861,-0.43562014567800167,0.6403596403596403,0,0.00042626194366334917,0.002278299906862076,80,787,40,12,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,6,6,0.5392399268814622,0.4852262072967361,0.4846516824756719,0.5122435650735373,0.013785443314494494,1.8402360929504138,0.05194805194805195,0,0.0010176767607540979,0.006938113322878094,34,826,17,6,10,7,100,1000,
trial_by_trial,Nielsen,svm,top_ten,full,occupancy,6,12,0.4268270753269625,0.4855883867822325,0.4371669583476522,0.4666696722355567,0.004289415762993076,0.7396077954932265,0.4355644355644356,0,0.0006459596624190747,0.004926200241229568,34,826,17,12,10,2,100,1000,
