method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,1,6,0.03250404630497497,0.08894080754794141,0.051451520484083385,0.05358484590875831,0.008204243730037343,0.5663405392962835,0.5494505494505495,0,-9.843655197368794e-06,0.01450379553517619,599,26,13,6,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,1,12,0.018032612493481415,0.03411326395262934,0.021761260575100087,0.020879752265894294,0.004752431802558188,0.48432486737857644,0.5964035964035964,0,-0.00037394572777659055,0.010584584595214898,599,26,13,12,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,2,6,0.0026093323805266937,-0.0005736764972942478,0.0027196532438826804,0.0020419638000964972,-0.0013629805803733656,-0.3124514709093753,0.7462537462537463,0,-0.00024974810130225857,0.003562897226347171,552,111,55,6,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,2,12,0.005291359124800833,-0.0012080107280517303,-0.00019974062768442005,-1.563530586184175e-05,0.002149362165147682,0.8973993537265443,0.3166833166833167,0,-0.00024627329405368025,0.0026695310724854397,552,111,55,12,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,3,6,0.012067045412587742,0.019457691730514235,0.010934721402670673,0.009944594735013308,0.005322710502708999,0.8062768314108211,0.36863136863136864,0,0.0006891948729438523,0.005746804880474406,681,72,36,6,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,3,12,0.008934311412493734,0.009336293894694935,0.005569367902526794,0.0055079677056441454,0.0035966348495088648,0.7893358252864877,0.3596403596403596,0,-2.379802466181996e-05,0.004586682573107152,681,72,36,12,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,4,6,0.008314929317016374,0.019689517110107684,0.004916287498749549,0.004693949901476377,0.009197104513449066,4.874055611080192,0.002997002997002997,0,0.00021600186358673154,0.0018426344232604958,350,386,175,6,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,4,12,0.010134562211451474,0.008386540997187698,0.0007980522541169642,0.0009830508375429571,0.008370000058489625,4.772831154895335,0.003996003996003996,0,0.0004138588115472431,0.0016669647403684145,350,386,175,12,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,5,6,0.04550760349999237,0.046060742912376114,0.038991036984552745,0.04112826553150997,0.005724521948152879,1.0800439754060087,0.19480519480519481,0,0.0003321314141652551,0.00499275090346254,80,787,40,6,10,0,100,1000,
trial_by_trial,Nielsen,svm,top_ten,mean_removed,occupancy,5,12,0.03491589411068702,0.024245149807081864,0.024790583371768714,0.028169266917301948,0.003100596814349113,0.6311386857351015,0.4675324675324675,0,0.0002941121147903489,0.004446700484363414,80,787,40,12,10,0,100,1000,
