method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,1,6,0.062292598764165145,0.1184043358189398,0.07637277167351474,0.07207274958183477,0.016125706663877734,1.0547991777166494,0.1978021978021978,0,-0.00047793942116791503,0.015741049515214815,599,26,13,5,10,33,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,1,12,0.08474830308590027,0.06886191731818722,0.07482583700492793,0.06531462553109929,0.006734878934030145,0.6810130886400751,0.45354645354645357,0,-0.00012201431850761021,0.010068665884572621,599,26,13,11,10,15,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,2,6,0.06461600542389007,0.03644845461219929,0.04997479593608843,0.04785210684735081,0.0016187786263250487,0.35210173697166697,0.7102897102897103,0,0.000119169999923894,0.004259020813980891,552,111,55,5,10,71,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,2,12,0.07947102483452886,0.038078689030054375,0.050795220235430365,0.05092009493993254,0.007917199344610167,2.9450004688431872,0.01098901098901099,0,0.00014053003773330434,0.002640634318788948,552,111,55,11,10,34,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,3,6,0.05874084341710703,0.06352797747333576,0.05368201575245137,0.05558630153734634,0.006500251800322536,0.711912587426108,0.4115884115884116,0,0.001237630981378496,0.007392228922332781,681,72,36,5,10,98,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,3,12,0.09396355887540396,0.08794402108259787,0.0867025527899315,0.08443727131538586,0.005383877926342234,1.2854273754760006,0.12687312687312688,0,8.457758126819668e-05,0.004122598013840867,681,72,36,11,10,41,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,4,6,0.07041482632310427,0.10188239841137793,0.07489848013937722,0.06945560197038385,0.013971571312360556,4.732056442848734,0.002997002997002997,0,0.0009509446722014747,0.0027515788954369626,350,386,175,5,10,137,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,4,12,0.07548717663637024,0.07203010497203628,0.06785865649522864,0.06589931271003863,0.00687965620156962,3.980003712386068,0.002997002997002997,0,0.0006369370800672549,0.001568520929283196,350,386,175,11,10,54,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,5,6,0.05595001536698181,0.06012420561815142,0.05597174413323724,0.056048291848130205,0.0020270925018828906,0.11625335067131909,0.9240759240759241,0,0.0012491475106899234,0.006691807046426012,80,787,40,5,10,160,100,1000,
trial_by_trial,Nielsen,svm,top_ten,no_origin,occupancy,5,12,0.19323207241981236,0.15743698698855593,0.16986848462288928,0.17042399369201783,0.0051882905467305895,1.2287404659497978,0.17182817182817184,0,0.0005159192382145684,0.003802569735427692,80,787,40,11,10,114,100,1000,
