label_source,feature,variant,scope,monkey,maze,k,perm_index,delta_null
dendro,bigram,full,publication,Nielsen,4,6,0,-0.01436916383114617
dendro,bigram,full,publication,Nielsen,4,6,1,0.052868849418195696
dendro,bigram,full,publication,Nielsen,4,6,2,-0.05522524053627609
dendro,bigram,full,publication,Nielsen,4,6,3,-0.07582418069057195
dendro,bigram,full,publication,Nielsen,4,6,4,-0.054861849068360335
dendro,bigram,full,publication,Nielsen,4,6,5,-0.02303694935946332
dendro,bigram,full,publication,Nielsen,4,6,6,-0.05846223827991881
dendro,bigram,full,publication,Nielsen,4,6,7,-0.031969057504460996
dendro,bigram,full,publication,Nielsen,4,6,8,-0.03447642898630854
dendro,bigram,full,publication,Nielsen,4,6,9,0.007901415474320328
dendro,bigram,full,publication,Nielsen,4,6,10,-0.0031146688870600236
dendro,bigram,full,publication,Nielsen,4,6,11,0.021137995058501557
dendro,bigram,full,publication,Nielsen,4,6,12,-0.0008560120638660962
dendro,bigram,full,publication,Nielsen,4,6,13,-0.005461500674718955
dendro,bigram,full,publication,Nielsen,4,6,14,0.04448879154333274
dendro,bigram,full,publication,Nielsen,4,6,15,-0.05287446966379872
dendro,bigram,full,publication,Nielsen,4,6,16,-0.0006189307192732141
dendro,bigram,full,publication,Nielsen,4,6,17,-0.023849280618776558
dendro,bigram,full,publication,Nielsen,4,6,18,-0.002597059582961081
dendro,bigram,full,publication,Nielsen,4,6,19,-0.002259950592357285
dendro,bigram,full,publication,Nielsen,4,6,20,0.1605257122638719
dendro,bigram,full,publication,Nielsen,4,6,21,-0.008221655916493487
dendro,bigram,full,publication,Nielsen,4,6,22,-0.04125588905347577
dendro,bigram,full,publication,Nielsen,4,6,23,0.010344841472851307
dendro,bigram,full,publication,Nielsen,4,6,24,-0.05192414860501482
dendro,bigram,full,publication,Nielsen,4,6,25,0.016675949822558822
dendro,bigram,full,publication,Nielsen,4,6,26,-0.04593590249779511
dendro,bigram,full,publication,Nielsen,4,6,27,-0.03160826279462281
dendro,bigram,full,publication,Nielsen,4,6,28,-0.032619625628531934
dendro,bigram,full,publication,Nielsen,4,6,29,-0.008506743427713959
dendro,bigram,full,publication,Nielsen,4,6,30,0.14741365590780708
dendro,bigram,full,publication,Nielsen,4,6,31,-0.02919879720705576
dendro,bigram,full,publication,Nielsen,4,6,32,-0.08593445645734799
dendro,bigram,full,publication,Nielsen,4,6,33,0.006323299198105592
dendro,bigram,full,publication,Nielsen,4,6,34,0.0415635359388391
dendro,bigram,full,publication,Nielsen,4,6,35,0.06278061773150057
dendro,bigram,full,publication,Nielsen,4,6,36,0.037313090288719764
dendro,bigram,full,publication,Nielsen,4,6,37,-0.02364406953069831
dendro,bigram,full,publication,Nielsen,4,6,38,-0.03032297867041267
dendro,bigram,full,publication,Nielsen,4,6,39,0.059059637284248234
dendro,bigram,full,publication,Nielsen,4,6,40,0.03246721108813355
dendro,bigram,full,publication,Nielsen,4,6,41,0.051943869149325916
dendro,bigram,full,publication,Nielsen,4,6,42,-0.07696249749861617
dendro,bigram,full,publication,Nielsen,4,6,43,-0.041292918790730604
dendro,bigram,full,publication,Nielsen,4,6,44,0.009795405269002133
dendro,bigram,full,publication,Nielsen,4,6,45,0.014944722641810793
dendro,bigram,full,publication,Nielsen,4,6,46,0.009760054125974027
dendro,bigram,full,publication,Nielsen,4,6,47,0.04008660760237304
dendro,bigram,full,publication,Nielsen,4,6,48,0.015922761415319786
dendro,bigram,full,publication,Nielsen,4,6,49,-0.10924382534269572
dendro,bigram,full,publication,Nielsen,4,6,50,-0.031447420415806615
dendro,bigram,full,publication,Nielsen,4,6,51,-0.01830550425807098
dendro,bigram,full,publication,Nielsen,4,6,52,0.004736016124160858
dendro,bigram,full,publication,Nielsen,4,6,53,-0.050365241022528484
dendro,bigram,full,publication,Nielsen,4,6,54,-0.01903690954497994
dendro,bigram,full,publication,Nielsen,4,6,55,-0.007795199813852682
dendro,bigram,full,publication,Nielsen,4,6,56,-0.02006723367060026
dendro,bigram,full,publication,Nielsen,4,6,57,-0.049899494406387634
dendro,bigram,full,publication,Nielsen,4,6,58,0.02302571496003758
dendro,bigram,full,publication,Nielsen,4,6,59,-0.06524913633527529
dendro,bigram,full,publication,Nielsen,4,6,60,-0.04663240815447145
dendro,bigram,full,publication,Nielsen,4,6,61,-0.04268033576263497
dendro,bigram,full,publication,Nielsen,4,6,62,0.02901692794224553
dendro,bigram,full,publication,Nielsen,4,6,63,-0.04627083371107377
dendro,bigram,full,publication,Nielsen,4,6,64,-0.0612819175883359
dendro,bigram,full,publication,Nielsen,4,6,65,0.01307606428316288
dendro,bigram,full,publication,Nielsen,4,6,66,-0.06618631229070493
dendro,bigram,full,publication,Nielsen,4,6,67,0.03089103047586128
dendro,bigram,full,publication,Nielsen,4,6,68,0.11604910587073491
dendro,bigram,full,publication,Nielsen,4,6,69,0.019335580136068287
dendro,bigram,full,publication,Nielsen,4,6,70,0.030158768916707213
dendro,bigram,full,publication,Nielsen,4,6,71,-0.05196745503367961
dendro,bigram,full,publication,Nielsen,4,6,72,-0.006476397007995516
dendro,bigram,full,publication,Nielsen,4,6,73,0.019314468584597178
dendro,bigram,full,publication,Nielsen,4,6,74,0.20135042110572615
dendro,bigram,full,publication,Nielsen,4,6,75,-0.03068980884678263
dendro,bigram,full,publication,Nielsen,4,6,76,-0.0027401099676681584
dendro,bigram,full,publication,Nielsen,4,6,77,-0.010683890086018666
dendro,bigram,full,publication,Nielsen,4,6,78,0.0053708339547001716
dendro,bigram,full,publication,Nielsen,4,6,79,0.06409646035564098
dendro,bigram,full,publication,Nielsen,4,6,80,-0.07618189726806956
