label_source,feature,variant,scope,monkey,maze,k,perm_index,delta_null
dendro,bigram,full,top_four,Nielsen,2,12,0,-0.057939552242863124
dendro,bigram,full,top_four,Nielsen,2,12,1,0.013814392055654878
dendro,bigram,full,top_four,Nielsen,2,12,2,-0.07621534795769441
dendro,bigram,full,top_four,Nielsen,2,12,3,-0.08955324018471678
dendro,bigram,full,top_four,Nielsen,2,12,4,0.031097399166538253
dendro,bigram,full,top_four,Nielsen,2,12,5,-0.03203556303003385
dendro,bigram,full,top_four,Nielsen,2,12,6,0.029399793951732756
dendro,bigram,full,top_four,Nielsen,2,12,7,0.021373109231284326
dendro,bigram,full,top_four,Nielsen,2,12,8,-0.026059465987190833
dendro,bigram,full,top_four,Nielsen,2,12,9,-0.004225349555870228
dendro,bigram,full,top_four,Nielsen,2,12,10,0.0350390942680423
dendro,bigram,full,top_four,Nielsen,2,12,11,-0.009979264075117122
dendro,bigram,full,top_four,Nielsen,2,12,12,-0.06406957308953937
dendro,bigram,full,top_four,Nielsen,2,12,13,0.10634514610260082
dendro,bigram,full,top_four,Nielsen,2,12,14,-0.0007976592740636113
dendro,bigram,full,top_four,Nielsen,2,12,15,-0.011010431813884447
dendro,bigram,full,top_four,Nielsen,2,12,16,-0.026372603095656644
dendro,bigram,full,top_four,Nielsen,2,12,17,0.0005030704261120844
dendro,bigram,full,top_four,Nielsen,2,12,18,-0.03721189421393312
dendro,bigram,full,top_four,Nielsen,2,12,19,0.0045258121009147945
dendro,bigram,full,top_four,Nielsen,2,12,20,0.08914011627121449
dendro,bigram,full,top_four,Nielsen,2,12,21,-0.04311004664987039
dendro,bigram,full,top_four,Nielsen,2,12,22,-0.01444255873300665
dendro,bigram,full,top_four,Nielsen,2,12,23,0.015293092396253039
dendro,bigram,full,top_four,Nielsen,2,12,24,-0.006160938036759267
dendro,bigram,full,top_four,Nielsen,2,12,25,0.015006238464400412
dendro,bigram,full,top_four,Nielsen,2,12,26,-0.03478915392302717
dendro,bigram,full,top_four,Nielsen,2,12,27,0.03142460154233606
dendro,bigram,full,top_four,Nielsen,2,12,28,0.023059711497651014
dendro,bigram,full,top_four,Nielsen,2,12,29,0.005179915625640907
dendro,bigram,full,top_four,Nielsen,2,12,30,-0.000506399474872965
dendro,bigram,full,top_four,Nielsen,2,12,31,0.026190524220087275
dendro,bigram,full,top_four,Nielsen,2,12,32,-0.021042664139876932
dendro,bigram,full,top_four,Nielsen,2,12,33,-0.013393864052811455
dendro,bigram,full,top_four,Nielsen,2,12,34,0.09909532672808713
dendro,bigram,full,top_four,Nielsen,2,12,35,-0.02735073615287309
dendro,bigram,full,top_four,Nielsen,2,12,36,0.021175251696614716
dendro,bigram,full,top_four,Nielsen,2,12,37,-0.023039606177041372
dendro,bigram,full,top_four,Nielsen,2,12,38,0.0009122104972398293
dendro,bigram,full,top_four,Nielsen,2,12,39,0.009785095788982734
dendro,bigram,full,top_four,Nielsen,2,12,40,0.01825835431495848
dendro,bigram,full,top_four,Nielsen,2,12,41,0.02407187267598232
dendro,bigram,full,top_four,Nielsen,2,12,42,-0.023193320965185282
dendro,bigram,full,top_four,Nielsen,2,12,43,-0.025768056410000906
dendro,bigram,full,top_four,Nielsen,2,12,44,0.02245943869092709
dendro,bigram,full,top_four,Nielsen,2,12,45,-0.050447503828443374
dendro,bigram,full,top_four,Nielsen,2,12,46,-0.013453610751848533
dendro,bigram,full,top_four,Nielsen,2,12,47,0.0031474969318862067
dendro,bigram,full,top_four,Nielsen,2,12,48,0.0005219525309757
dendro,bigram,full,top_four,Nielsen,2,12,49,0.003481483485657466
dendro,bigram,full,top_four,Nielsen,2,12,50,-0.02961987932533844
dendro,bigram,full,top_four,Nielsen,2,12,51,0.029340781477259326
dendro,bigram,full,top_four,Nielsen,2,12,52,0.051643220850137894
dendro,bigram,full,top_four,Nielsen,2,12,53,0.018673997440226298
dendro,bigram,full,top_four,Nielsen,2,12,54,-0.04848883682485944
dendro,bigram,full,top_four,Nielsen,2,12,55,-0.008241631791274018
dendro,bigram,full,top_four,Nielsen,2,12,56,-0.042651418894688486
dendro,bigram,full,top_four,Nielsen,2,12,57,0.044494370955506235
dendro,bigram,full,top_four,Nielsen,2,12,58,0.009967900500321702
dendro,bigram,full,top_four,Nielsen,2,12,59,-0.04523946328389611
dendro,bigram,full,top_four,Nielsen,2,12,60,0.033243212397095656
dendro,bigram,full,top_four,Nielsen,2,12,61,-0.017849701950287566
dendro,bigram,full,top_four,Nielsen,2,12,62,0.022031193145725658
dendro,bigram,full,top_four,Nielsen,2,12,63,-0.011403853402010056
dendro,bigram,full,top_four,Nielsen,2,12,64,-0.01776424441712815
dendro,bigram,full,top_four,Nielsen,2,12,65,0.016026748302289506
dendro,bigram,full,top_four,Nielsen,2,12,66,-0.04039889308130967
dendro,bigram,full,top_four,Nielsen,2,12,67,0.0100650932390427
dendro,bigram,full,top_four,Nielsen,2,12,68,-0.008144433704681042
dendro,bigram,full,top_four,Nielsen,2,12,69,0.04000915440773134
dendro,bigram,full,top_four,Nielsen,2,12,70,0.06989928933199996
dendro,bigram,full,top_four,Nielsen,2,12,71,0.02264481490095932
dendro,bigram,full,top_four,Nielsen,2,12,72,-0.06371475705678903
dendro,bigram,full,top_four,Nielsen,2,12,73,-0.03884443867087217
dendro,bigram,full,top_four,Nielsen,2,12,74,-0.002295999303791152
dendro,bigram,full,top_four,Nielsen,2,12,75,0.10568782472928212
dendro,bigram,full,top_four,Nielsen,2,12,76,0.011706350545621913
dendro,bigram,full,top_four,Nielsen,2,12,77,0.08059793102859064
dendro,bigram,full,top_four,Nielsen,2,12,78,-0.003389533279736956
dendro,bigram,full,top_four,Nielsen,2,12,79,0.02247129803232978
dendro,bigram,full,top_four,Nielsen,2,12,80,-0.0853370447244649
dendro,bigram,full,top_four,Nielsen,2,12,81,-0.040151938656694586
dendro,bigram,full,top_four,Nielsen,2,12,82,-0.07606389276503595
dendro,bigram,full,top_four,Nielsen,2,12,83,0.044381710869883684
dendro,bigram,full,top_four,Nielsen,2,12,84,-0.01722305286379594
dendro,bigram,full,top_four,Nielsen,2,12,85,0.011956423394690718
dendro,bigram,full,top_four,Nielsen,2,12,86,-0.007764512615589081
dendro,bigram,full,top_four,Nielsen,2,12,87,0.0281992829749646
dendro,bigram,full,top_four,Nielsen,2,12,88,0.009035671567455439
dendro,bigram,full,top_four,Nielsen,2,12,89,-0.0003899643206443648
dendro,bigram,full,top_four,Nielsen,2,12,90,-0.03338243680419395
dendro,bigram,full,top_four,Nielsen,2,12,91,-0.004628152894110282
dendro,bigram,full,top_four,Nielsen,2,12,92,0.0036205359107636115
dendro,bigram,full,top_four,Nielsen,2,12,93,0.025089444275137707
dendro,bigram,full,top_four,Nielsen,2,12,94,-0.003272039624150902
dendro,bigram,full,top_four,Nielsen,2,12,95,-0.13461337207619611
dendro,bigram,full,top_four,Nielsen,2,12,96,-0.0001034770914261629
dendro,bigram,full,top_four,Nielsen,2,12,97,0.11200237006661262
dendro,bigram,full,top_four,Nielsen,2,12,98,0.062115636105799676
dendro,bigram,full,top_four,Nielsen,2,12,99,-0.07331057613134934
dendro,bigram,full,top_four,Nielsen,2,12,100,0.043114400254024965
dendro,bigram,full,top_four,Nielsen,2,12,101,0.010234628492329811
dendro,bigram,full,top_four,Nielsen,2,12,102,0.02434716325216313
dendro,bigram,full,top_four,Nielsen,2,12,103,0.06569201851041856
dendro,bigram,full,top_four,Nielsen,2,12,104,-0.04273719858905156
dendro,bigram,full,top_four,Nielsen,2,12,105,-0.027639995537392215
dendro,bigram,full,top_four,Nielsen,2,12,106,-0.07079901103351144
dendro,bigram,full,top_four,Nielsen,2,12,107,-0.09316016684186618
dendro,bigram,full,top_four,Nielsen,2,12,108,0.052772319006059
dendro,bigram,full,top_four,Nielsen,2,12,109,0.06242103156565881
dendro,bigram,full,top_four,Nielsen,2,12,110,0.015449656792548117
dendro,bigram,full,top_four,Nielsen,2,12,111,-0.0398188166373708
dendro,bigram,full,top_four,Nielsen,2,12,112,-0.01240567977112067
