label_source,feature,variant,scope,monkey,maze,k,perm_index,delta_null
dendro,occupancy,full,publication,Nielsen,2,6,0,-0.023267751205040654
dendro,occupancy,full,publication,Nielsen,2,6,1,0.005515296234268829
dendro,occupancy,full,publication,Nielsen,2,6,2,0.08527345206652137
dendro,occupancy,full,publication,Nielsen,2,6,3,-0.03733659238345732
dendro,occupancy,full,publication,Nielsen,2,6,4,-0.0196342595278175
dendro,occupancy,full,publication,Nielsen,2,6,5,0.006197359302743122
dendro,occupancy,full,publication,Nielsen,2,6,6,-0.022018113476874213
dendro,occupancy,full,publication,Nielsen,2,6,7,-0.010512943552561826
dendro,occupancy,full,publication,Nielsen,2,6,8,0.004642482118210389
dendro,occupancy,full,publication,Nielsen,2,6,9,0.019269317869896052
dendro,occupancy,full,publication,Nielsen,2,6,10,-0.02954827449568964
dendro,occupancy,full,publication,Nielsen,2,6,11,-0.034828401896727534
dendro,occupancy,full,publication,Nielsen,2,6,12,-0.012620627348447044
dendro,occupancy,full,publication,Nielsen,2,6,13,0.014711612816174613
dendro,occupancy,full,publication,Nielsen,2,6,14,0.028299842881432613
dendro,occupancy,full,publication,Nielsen,2,6,15,0.03584221994960535
dendro,occupancy,full,publication,Nielsen,2,6,16,0.046772700640323905
dendro,occupancy,full,publication,Nielsen,2,6,17,0.02022291281317301
dendro,occupancy,full,publication,Nielsen,2,6,18,-0.020160140608931565
dendro,occupancy,full,publication,Nielsen,2,6,19,-0.031256306087794394
dendro,occupancy,full,publication,Nielsen,2,6,20,0.036610840106230946
dendro,occupancy,full,publication,Nielsen,2,6,21,-0.018077631250252857
dendro,occupancy,full,publication,Nielsen,2,6,22,0.06516832292127983
dendro,occupancy,full,publication,Nielsen,2,6,23,-0.012261487946478078
dendro,occupancy,full,publication,Nielsen,2,6,24,-0.030141634015359853
dendro,occupancy,full,publication,Nielsen,2,6,25,0.00265737656186793
dendro,occupancy,full,publication,Nielsen,2,6,26,0.027835925977820253
dendro,occupancy,full,publication,Nielsen,2,6,27,0.00026563123079215156
dendro,occupancy,full,publication,Nielsen,2,6,28,-0.004402096479571571
dendro,occupancy,full,publication,Nielsen,2,6,29,-0.009390819204502021
dendro,occupancy,full,publication,Nielsen,2,6,30,-0.027815848410314037
dendro,occupancy,full,publication,Nielsen,2,6,31,-0.016249724090942164
dendro,occupancy,full,publication,Nielsen,2,6,32,-0.040438515930404706
