label_source,feature,variant,scope,monkey,maze,k,perm_index,delta_null
dendro,occupancy,full,top_four,Nielsen,2,12,0,-0.03963590601329392
dendro,occupancy,full,top_four,Nielsen,2,12,1,0.0019737166763146297
dendro,occupancy,full,top_four,Nielsen,2,12,2,-0.05478908853122233
dendro,occupancy,full,top_four,Nielsen,2,12,3,-0.006656984861116544
dendro,occupancy,full,top_four,Nielsen,2,12,4,0.0152855846609119
dendro,occupancy,full,top_four,Nielsen,2,12,5,-0.030073798063315893
dendro,occupancy,full,top_four,Nielsen,2,12,6,0.011362219731432144
dendro,occupancy,full,top_four,Nielsen,2,12,7,0.028416297572822713
dendro,occupancy,full,top_four,Nielsen,2,12,8,0.03743296361930115
dendro,occupancy,full,top_four,Nielsen,2,12,9,0.007801854990720614
dendro,occupancy,full,top_four,Nielsen,2,12,10,-0.01673179513228995
dendro,occupancy,full,top_four,Nielsen,2,12,11,0.042683951500858464
dendro,occupancy,full,top_four,Nielsen,2,12,12,-0.03265400251998485
dendro,occupancy,full,top_four,Nielsen,2,12,13,0.008295476613095265
dendro,occupancy,full,top_four,Nielsen,2,12,14,-0.02534989708386559
dendro,occupancy,full,top_four,Nielsen,2,12,15,-0.02474577083947682
dendro,occupancy,full,top_four,Nielsen,2,12,16,-0.010023981606409271
dendro,occupancy,full,top_four,Nielsen,2,12,17,-0.013636311233106047
dendro,occupancy,full,top_four,Nielsen,2,12,18,0.029995836458753367
dendro,occupancy,full,top_four,Nielsen,2,12,19,-0.042743083381477476
dendro,occupancy,full,top_four,Nielsen,2,12,20,0.023535656469945487
dendro,occupancy,full,top_four,Nielsen,2,12,21,-0.0115233443730548
dendro,occupancy,full,top_four,Nielsen,2,12,22,-0.01895826678929302
dendro,occupancy,full,top_four,Nielsen,2,12,23,0.007178818153698363
dendro,occupancy,full,top_four,Nielsen,2,12,24,-0.014562830593170872
dendro,occupancy,full,top_four,Nielsen,2,12,25,0.04779919526999421
dendro,occupancy,full,top_four,Nielsen,2,12,26,-0.026928816161799873
dendro,occupancy,full,top_four,Nielsen,2,12,27,0.02120190797211441
dendro,occupancy,full,top_four,Nielsen,2,12,28,0.015091539632243856
dendro,occupancy,full,top_four,Nielsen,2,12,29,-0.01262754592436921
dendro,occupancy,full,top_four,Nielsen,2,12,30,0.021717132408430317
dendro,occupancy,full,top_four,Nielsen,2,12,31,0.02693265653429544
dendro,occupancy,full,top_four,Nielsen,2,12,32,-0.0052876026792226805
dendro,occupancy,full,top_four,Nielsen,2,12,33,0.004129348637651686
dendro,occupancy,full,top_four,Nielsen,2,12,34,0.030433161466275616
dendro,occupancy,full,top_four,Nielsen,2,12,35,-0.014186067602503849
dendro,occupancy,full,top_four,Nielsen,2,12,36,-0.01330754253852906
dendro,occupancy,full,top_four,Nielsen,2,12,37,0.00824463237414097
dendro,occupancy,full,top_four,Nielsen,2,12,38,0.014701860563820168
dendro,occupancy,full,top_four,Nielsen,2,12,39,-0.010022188955424505
dendro,occupancy,full,top_four,Nielsen,2,12,40,0.014600328585352318
dendro,occupancy,full,top_four,Nielsen,2,12,41,-0.012048123337763061
dendro,occupancy,full,top_four,Nielsen,2,12,42,-0.02056989344457205
dendro,occupancy,full,top_four,Nielsen,2,12,43,0.02112508698347193
