label_source,feature,variant,scope,monkey,maze,k,perm_index,delta_null
dendro,occupancy_bin,full,publication,Nielsen,2,12,0,-0.03253949670559242
dendro,occupancy_bin,full,publication,Nielsen,2,12,1,0.017603075062571638
dendro,occupancy_bin,full,publication,Nielsen,2,12,2,-0.018117717362795105
dendro,occupancy_bin,full,publication,Nielsen,2,12,3,-0.03596909288923078
dendro,occupancy_bin,full,publication,Nielsen,2,12,4,-0.01939885643942263
dendro,occupancy_bin,full,publication,Nielsen,2,12,5,-0.019225918462623892
dendro,occupancy_bin,full,publication,Nielsen,2,12,6,0.022198755146042304
dendro,occupancy_bin,full,publication,Nielsen,2,12,7,0.012199821223377594
dendro,occupancy_bin,full,publication,Nielsen,2,12,8,-0.022335414829071087
dendro,occupancy_bin,full,publication,Nielsen,2,12,9,-0.017159571073839697
dendro,occupancy_bin,full,publication,Nielsen,2,12,10,-0.0065505418282950645
dendro,occupancy_bin,full,publication,Nielsen,2,12,11,-0.019340305155482906
dendro,occupancy_bin,full,publication,Nielsen,2,12,12,-0.0248158703616268
dendro,occupancy_bin,full,publication,Nielsen,2,12,13,-0.015003042175114722
dendro,occupancy_bin,full,publication,Nielsen,2,12,14,0.004239932572052685
dendro,occupancy_bin,full,publication,Nielsen,2,12,15,0.02509005260411823
dendro,occupancy_bin,full,publication,Nielsen,2,12,16,-0.042611168899143514
dendro,occupancy_bin,full,publication,Nielsen,2,12,17,0.012570148316801033
dendro,occupancy_bin,full,publication,Nielsen,2,12,18,0.025434283975504735
dendro,occupancy_bin,full,publication,Nielsen,2,12,19,-0.0052694495648586415
dendro,occupancy_bin,full,publication,Nielsen,2,12,20,-0.019882726343383395
dendro,occupancy_bin,full,publication,Nielsen,2,12,21,-0.04357651025069431
dendro,occupancy_bin,full,publication,Nielsen,2,12,22,0.03859073465226459
dendro,occupancy_bin,full,publication,Nielsen,2,12,23,0.03421730421261604
dendro,occupancy_bin,full,publication,Nielsen,2,12,24,-0.02885307096260359
dendro,occupancy_bin,full,publication,Nielsen,2,12,25,0.0013316818888282622
dendro,occupancy_bin,full,publication,Nielsen,2,12,26,0.0024024088199756655
dendro,occupancy_bin,full,publication,Nielsen,2,12,27,0.00805909825409068
dendro,occupancy_bin,full,publication,Nielsen,2,12,28,0.05693147287335654
dendro,occupancy_bin,full,publication,Nielsen,2,12,29,-0.0076298883033008025
dendro,occupancy_bin,full,publication,Nielsen,2,12,30,-0.007475779183007125
dendro,occupancy_bin,full,publication,Nielsen,2,12,31,0.02568920130449559
dendro,occupancy_bin,full,publication,Nielsen,2,12,32,-0.015978266746412895
dendro,occupancy_bin,full,publication,Nielsen,2,12,33,0.004185756174817867
dendro,occupancy_bin,full,publication,Nielsen,2,12,34,-0.02742278470606352
dendro,occupancy_bin,full,publication,Nielsen,2,12,35,0.0055223445415776284
dendro,occupancy_bin,full,publication,Nielsen,2,12,36,0.01910562206764077
dendro,occupancy_bin,full,publication,Nielsen,2,12,37,0.037729122941831505
dendro,occupancy_bin,full,publication,Nielsen,2,12,38,0.11815198818560446
dendro,occupancy_bin,full,publication,Nielsen,2,12,39,0.03085841811457002
dendro,occupancy_bin,full,publication,Nielsen,2,12,40,0.01733126804594831
dendro,occupancy_bin,full,publication,Nielsen,2,12,41,0.005480491946833865
dendro,occupancy_bin,full,publication,Nielsen,2,12,42,0.000845174485489042
dendro,occupancy_bin,full,publication,Nielsen,2,12,43,-0.012014107016591669
dendro,occupancy_bin,full,publication,Nielsen,2,12,44,0.033751882354372875
dendro,occupancy_bin,full,publication,Nielsen,2,12,45,-0.05170680077124423
dendro,occupancy_bin,full,publication,Nielsen,2,12,46,-0.0259707683553122
dendro,occupancy_bin,full,publication,Nielsen,2,12,47,-0.006286704328078985
dendro,occupancy_bin,full,publication,Nielsen,2,12,48,-0.006585736610470572
dendro,occupancy_bin,full,publication,Nielsen,2,12,49,-0.01997473180924758
dendro,occupancy_bin,full,publication,Nielsen,2,12,50,-0.026126463145153878
dendro,occupancy_bin,full,publication,Nielsen,2,12,51,0.0253079044319664
dendro,occupancy_bin,full,publication,Nielsen,2,12,52,-0.026211338404668494
dendro,occupancy_bin,full,publication,Nielsen,2,12,53,-0.0012336836142881058
dendro,occupancy_bin,full,publication,Nielsen,2,12,54,0.02404712363903916
dendro,occupancy_bin,full,publication,Nielsen,2,12,55,-0.022143627174163405
dendro,occupancy_bin,full,publication,Nielsen,2,12,56,0.01657150780209493
dendro,occupancy_bin,full,publication,Nielsen,2,12,57,-0.011564683112422647
dendro,occupancy_bin,full,publication,Nielsen,2,12,58,-0.031149411164554497
dendro,occupancy_bin,full,publication,Nielsen,2,12,59,-0.03690830840463
dendro,occupancy_bin,full,publication,Nielsen,2,12,60,0.020213147774745033
dendro,occupancy_bin,full,publication,Nielsen,2,12,61,0.003839588173944475
dendro,occupancy_bin,full,publication,Nielsen,2,12,62,-0.01631314107762205
dendro,occupancy_bin,full,publication,Nielsen,2,12,63,-0.003478861858439153
dendro,occupancy_bin,full,publication,Nielsen,2,12,64,0.025310140219723665
dendro,occupancy_bin,full,publication,Nielsen,2,12,65,0.042874858010863104
dendro,occupancy_bin,full,publication,Nielsen,2,12,66,-0.014125744962231734
dendro,occupancy_bin,full,publication,Nielsen,2,12,67,-0.005890882911157913
dendro,occupancy_bin,full,publication,Nielsen,2,12,68,-0.00627353265882491
dendro,occupancy_bin,full,publication,Nielsen,2,12,69,-0.028533653356703437
dendro,occupancy_bin,full,publication,Nielsen,2,12,70,-0.004062384432878208
dendro,occupancy_bin,full,publication,Nielsen,2,12,71,-0.017266508103861877
dendro,occupancy_bin,full,publication,Nielsen,2,12,72,-0.006527571253049036
dendro,occupancy_bin,full,publication,Nielsen,2,12,73,0.0056951942312769566
dendro,occupancy_bin,full,publication,Nielsen,2,12,74,0.0332436562506262
dendro,occupancy_bin,full,publication,Nielsen,2,12,75,0.08797847526773805
dendro,occupancy_bin,full,publication,Nielsen,2,12,76,-0.04505699792979678
dendro,occupancy_bin,full,publication,Nielsen,2,12,77,-0.009955861704776248
dendro,occupancy_bin,full,publication,Nielsen,2,12,78,-0.018887738542428423
dendro,occupancy_bin,full,publication,Nielsen,2,12,79,-0.018734126096392467
dendro,occupancy_bin,full,publication,Nielsen,2,12,80,0.02612266474023306
dendro,occupancy_bin,full,publication,Nielsen,2,12,81,0.013310267549411892
