label_source,feature,variant,scope,monkey,maze,k,perm_index,delta_null
dendro,occupancy_bin,full,top_four,Nielsen,4,12,0,0.005619903598790943
dendro,occupancy_bin,full,top_four,Nielsen,4,12,1,0.005182181601798286
dendro,occupancy_bin,full,top_four,Nielsen,4,12,2,0.010562510642045275
dendro,occupancy_bin,full,top_four,Nielsen,4,12,3,0.0047945428095586
dendro,occupancy_bin,full,top_four,Nielsen,4,12,4,-0.012085434991444655
dendro,occupancy_bin,full,top_four,Nielsen,4,12,5,-0.01135641473063953
dendro,occupancy_bin,full,top_four,Nielsen,4,12,6,0.018736979608570792
dendro,occupancy_bin,full,top_four,Nielsen,4,12,7,-0.003899184765755681
dendro,occupancy_bin,full,top_four,Nielsen,4,12,8,0.03682634661413442
dendro,occupancy_bin,full,top_four,Nielsen,4,12,9,0.010015359467153262
dendro,occupancy_bin,full,top_four,Nielsen,4,12,10,-0.009826871693182526
dendro,occupancy_bin,full,top_four,Nielsen,4,12,11,-0.009960178943052789
dendro,occupancy_bin,full,top_four,Nielsen,4,12,12,-0.016520242006949015
dendro,occupancy_bin,full,top_four,Nielsen,4,12,13,-0.0071709230251730816
dendro,occupancy_bin,full,top_four,Nielsen,4,12,14,-0.0022259316569154253
dendro,occupancy_bin,full,top_four,Nielsen,4,12,15,-0.008415678879366895
dendro,occupancy_bin,full,top_four,Nielsen,4,12,16,-0.019896177716255403
dendro,occupancy_bin,full,top_four,Nielsen,4,12,17,-0.004659948485994936
dendro,occupancy_bin,full,top_four,Nielsen,4,12,18,0.003096152842014699
dendro,occupancy_bin,full,top_four,Nielsen,4,12,19,-0.006900457750272038
dendro,occupancy_bin,full,top_four,Nielsen,4,12,20,0.0006668942338547978
dendro,occupancy_bin,full,top_four,Nielsen,4,12,21,0.022367954924977118
dendro,occupancy_bin,full,top_four,Nielsen,4,12,22,0.004347321122440628
dendro,occupancy_bin,full,top_four,Nielsen,4,12,23,-0.004041520426558032
dendro,occupancy_bin,full,top_four,Nielsen,4,12,24,-0.0177851380001518
dendro,occupancy_bin,full,top_four,Nielsen,4,12,25,0.015935508175216162
dendro,occupancy_bin,full,top_four,Nielsen,4,12,26,-0.007645413628029285
dendro,occupancy_bin,full,top_four,Nielsen,4,12,27,-0.006031338875624015
dendro,occupancy_bin,full,top_four,Nielsen,4,12,28,0.010987948312968454
dendro,occupancy_bin,full,top_four,Nielsen,4,12,29,-0.020131111926939615
dendro,occupancy_bin,full,top_four,Nielsen,4,12,30,0.014919109889757864
dendro,occupancy_bin,full,top_four,Nielsen,4,12,31,0.002921883612852394
dendro,occupancy_bin,full,top_four,Nielsen,4,12,32,-0.003325483560606246
dendro,occupancy_bin,full,top_four,Nielsen,4,12,33,0.004868504784530159
dendro,occupancy_bin,full,top_four,Nielsen,4,12,34,0.015336241794018157
dendro,occupancy_bin,full,top_four,Nielsen,4,12,35,0.0016830113650714296
dendro,occupancy_bin,full,top_four,Nielsen,4,12,36,-0.0011862127618261775
dendro,occupancy_bin,full,top_four,Nielsen,4,12,37,-0.0016531347782093864
dendro,occupancy_bin,full,top_four,Nielsen,4,12,38,0.005157800959255998
dendro,occupancy_bin,full,top_four,Nielsen,4,12,39,-0.0136380983351726
dendro,occupancy_bin,full,top_four,Nielsen,4,12,40,0.005397672656446639
dendro,occupancy_bin,full,top_four,Nielsen,4,12,41,0.0032825113932868355
dendro,occupancy_bin,full,top_four,Nielsen,4,12,42,0.005093767305514141
dendro,occupancy_bin,full,top_four,Nielsen,4,12,43,0.0051994016999036274
dendro,occupancy_bin,full,top_four,Nielsen,4,12,44,0.012663436503850378
dendro,occupancy_bin,full,top_four,Nielsen,4,12,45,-0.015741539103176327
dendro,occupancy_bin,full,top_four,Nielsen,4,12,46,-0.013126624750694926
dendro,occupancy_bin,full,top_four,Nielsen,4,12,47,0.020496749682861193
dendro,occupancy_bin,full,top_four,Nielsen,4,12,48,0.0008529530451610867
dendro,occupancy_bin,full,top_four,Nielsen,4,12,49,0.005191848309402669
dendro,occupancy_bin,full,top_four,Nielsen,4,12,50,0.00430353161094843
dendro,occupancy_bin,full,top_four,Nielsen,4,12,51,0.007519096500846478
dendro,occupancy_bin,full,top_four,Nielsen,4,12,52,-0.0003880680525707447
dendro,occupancy_bin,full,top_four,Nielsen,4,12,53,-0.010431156641782402
dendro,occupancy_bin,full,top_four,Nielsen,4,12,54,-0.015832529480078517
dendro,occupancy_bin,full,top_four,Nielsen,4,12,55,0.005563723982793811
dendro,occupancy_bin,full,top_four,Nielsen,4,12,56,0.015291066562568512
dendro,occupancy_bin,full,top_four,Nielsen,4,12,57,0.002203167742320322
dendro,occupancy_bin,full,top_four,Nielsen,4,12,58,-0.005473609815988767
dendro,occupancy_bin,full,top_four,Nielsen,4,12,59,-0.004455344026789376
dendro,occupancy_bin,full,top_four,Nielsen,4,12,60,-0.008363715249085302
dendro,occupancy_bin,full,top_four,Nielsen,4,12,61,0.011401342295605521
dendro,occupancy_bin,full,top_four,Nielsen,4,12,62,0.023019999189096696
dendro,occupancy_bin,full,top_four,Nielsen,4,12,63,0.011849285629712658
dendro,occupancy_bin,full,top_four,Nielsen,4,12,64,0.007849255420251167
dendro,occupancy_bin,full,top_four,Nielsen,4,12,65,0.004356311305564686
dendro,occupancy_bin,full,top_four,Nielsen,4,12,66,0.0032961457806435224
dendro,occupancy_bin,full,top_four,Nielsen,4,12,67,0.012400763964690809
dendro,occupancy_bin,full,top_four,Nielsen,4,12,68,-0.004645070778216298
dendro,occupancy_bin,full,top_four,Nielsen,4,12,69,-0.0046665266014642715
dendro,occupancy_bin,full,top_four,Nielsen,4,12,70,-0.00803590512198138
dendro,occupancy_bin,full,top_four,Nielsen,4,12,71,0.008751738559462874
dendro,occupancy_bin,full,top_four,Nielsen,4,12,72,-0.012102476031750298
dendro,occupancy_bin,full,top_four,Nielsen,4,12,73,-0.002351590801776604
dendro,occupancy_bin,full,top_four,Nielsen,4,12,74,0.0045272569962356846
dendro,occupancy_bin,full,top_four,Nielsen,4,12,75,0.009783448393925975
dendro,occupancy_bin,full,top_four,Nielsen,4,12,76,0.004978702198075169
dendro,occupancy_bin,full,top_four,Nielsen,4,12,77,-0.009997727833414238
dendro,occupancy_bin,full,top_four,Nielsen,4,12,78,-0.01958507551185784
dendro,occupancy_bin,full,top_four,Nielsen,4,12,79,-0.004664528579568228
dendro,occupancy_bin,full,top_four,Nielsen,4,12,80,-0.005885788558259497
dendro,occupancy_bin,full,top_four,Nielsen,4,12,81,0.017027750549679754
dendro,occupancy_bin,full,top_four,Nielsen,4,12,82,-0.007445665913943578
dendro,occupancy_bin,full,top_four,Nielsen,4,12,83,-0.008825894876186902
dendro,occupancy_bin,full,top_four,Nielsen,4,12,84,0.009301673422796863
dendro,occupancy_bin,full,top_four,Nielsen,4,12,85,-0.014011156227719201
dendro,occupancy_bin,full,top_four,Nielsen,4,12,86,0.01538596711414364
dendro,occupancy_bin,full,top_four,Nielsen,4,12,87,-0.006009373473168322
dendro,occupancy_bin,full,top_four,Nielsen,4,12,88,0.018250027990459383
dendro,occupancy_bin,full,top_four,Nielsen,4,12,89,0.016641647734831233
dendro,occupancy_bin,full,top_four,Nielsen,4,12,90,-0.0006871967824636505
dendro,occupancy_bin,full,top_four,Nielsen,4,12,91,0.02761115581940321
dendro,occupancy_bin,full,top_four,Nielsen,4,12,92,-0.0019281969890796447
dendro,occupancy_bin,full,top_four,Nielsen,4,12,93,-0.00413048554001938
dendro,occupancy_bin,full,top_four,Nielsen,4,12,94,0.0052598667027236035
dendro,occupancy_bin,full,top_four,Nielsen,4,12,95,0.020027963172848384
dendro,occupancy_bin,full,top_four,Nielsen,4,12,96,0.022771205635415903
dendro,occupancy_bin,full,top_four,Nielsen,4,12,97,0.0030603941457355566
dendro,occupancy_bin,full,top_four,Nielsen,4,12,98,-0.014028978845092355
dendro,occupancy_bin,full,top_four,Nielsen,4,12,99,0.010392617346150934
dendro,occupancy_bin,full,top_four,Nielsen,4,12,100,0.03052640710088972
dendro,occupancy_bin,full,top_four,Nielsen,4,12,101,0.013303622364400525
dendro,occupancy_bin,full,top_four,Nielsen,4,12,102,0.021002088183570633
dendro,occupancy_bin,full,top_four,Nielsen,4,12,103,0.0007176208622720059
dendro,occupancy_bin,full,top_four,Nielsen,4,12,104,0.020944003257378996
dendro,occupancy_bin,full,top_four,Nielsen,4,12,105,0.010211764834915482
dendro,occupancy_bin,full,top_four,Nielsen,4,12,106,0.005347844487374798
dendro,occupancy_bin,full,top_four,Nielsen,4,12,107,-0.00462597692503075
dendro,occupancy_bin,full,top_four,Nielsen,4,12,108,0.013764492238502513
dendro,occupancy_bin,full,top_four,Nielsen,4,12,109,-0.012908913393750221
dendro,occupancy_bin,full,top_four,Nielsen,4,12,110,-0.008391617845408428
dendro,occupancy_bin,full,top_four,Nielsen,4,12,111,-0.004880940996584204
dendro,occupancy_bin,full,top_four,Nielsen,4,12,112,0.009011684363137706
dendro,occupancy_bin,full,top_four,Nielsen,4,12,113,0.02324655284936772
dendro,occupancy_bin,full,top_four,Nielsen,4,12,114,0.0004883358799072646
dendro,occupancy_bin,full,top_four,Nielsen,4,12,115,-0.007538358441891768
dendro,occupancy_bin,full,top_four,Nielsen,4,12,116,0.019089503900985516
dendro,occupancy_bin,full,top_four,Nielsen,4,12,117,0.01690476401572205
dendro,occupancy_bin,full,top_four,Nielsen,4,12,118,-0.009823540316490909
dendro,occupancy_bin,full,top_four,Nielsen,4,12,119,0.0011987721787438677
dendro,occupancy_bin,full,top_four,Nielsen,4,12,120,-0.0005883211732168325
dendro,occupancy_bin,full,top_four,Nielsen,4,12,121,0.009064091767484128
dendro,occupancy_bin,full,top_four,Nielsen,4,12,122,-0.0008555470103525087
dendro,occupancy_bin,full,top_four,Nielsen,4,12,123,0.0023559069645654462
dendro,occupancy_bin,full,top_four,Nielsen,4,12,124,-0.007267772196718036
dendro,occupancy_bin,full,top_four,Nielsen,4,12,125,-0.015441975630385185
dendro,occupancy_bin,full,top_four,Nielsen,4,12,126,0.0011633221168250163
dendro,occupancy_bin,full,top_four,Nielsen,4,12,127,0.015655927512220114
dendro,occupancy_bin,full,top_four,Nielsen,4,12,128,0.006212040926182327
dendro,occupancy_bin,full,top_four,Nielsen,4,12,129,-0.00172962406610766
dendro,occupancy_bin,full,top_four,Nielsen,4,12,130,0.0013222428035298828
dendro,occupancy_bin,full,top_four,Nielsen,4,12,131,-0.01686715055635457
dendro,occupancy_bin,full,top_four,Nielsen,4,12,132,0.00577383821145272
dendro,occupancy_bin,full,top_four,Nielsen,4,12,133,-0.01848730819706068
dendro,occupancy_bin,full,top_four,Nielsen,4,12,134,0.004086106957744251
dendro,occupancy_bin,full,top_four,Nielsen,4,12,135,0.006738533314416761
dendro,occupancy_bin,full,top_four,Nielsen,4,12,136,0.007670419046823973
dendro,occupancy_bin,full,top_four,Nielsen,4,12,137,-0.010415781806561109
dendro,occupancy_bin,full,top_four,Nielsen,4,12,138,-0.024875485176183876
dendro,occupancy_bin,full,top_four,Nielsen,4,12,139,-0.009594506053893337
dendro,occupancy_bin,full,top_four,Nielsen,4,12,140,-0.0010287981612953079
dendro,occupancy_bin,full,top_four,Nielsen,4,12,141,-0.0009724831016505453
dendro,occupancy_bin,full,top_four,Nielsen,4,12,142,-0.012420430219693412
dendro,occupancy_bin,full,top_four,Nielsen,4,12,143,0.011679216634557177
dendro,occupancy_bin,full,top_four,Nielsen,4,12,144,-0.00330550070561908
dendro,occupancy_bin,full,top_four,Nielsen,4,12,145,-0.014275480008026142
dendro,occupancy_bin,full,top_four,Nielsen,4,12,146,0.029001135957887447
dendro,occupancy_bin,full,top_four,Nielsen,4,12,147,-0.008399135954078374
dendro,occupancy_bin,full,top_four,Nielsen,4,12,148,-0.019813575510492676
dendro,occupancy_bin,full,top_four,Nielsen,4,12,149,-0.0073364274691456455
dendro,occupancy_bin,full,top_four,Nielsen,4,12,150,0.0076971911500051116
dendro,occupancy_bin,full,top_four,Nielsen,4,12,151,0.00525346684454342
dendro,occupancy_bin,full,top_four,Nielsen,4,12,152,0.021799599008787918
dendro,occupancy_bin,full,top_four,Nielsen,4,12,153,-0.01890221228976141
dendro,occupancy_bin,full,top_four,Nielsen,4,12,154,0.0097703585038027
dendro,occupancy_bin,full,top_four,Nielsen,4,12,155,0.017931394548278634
dendro,occupancy_bin,full,top_four,Nielsen,4,12,156,0.0032798218870365714
dendro,occupancy_bin,full,top_four,Nielsen,4,12,157,-8.750158873016556e-05
dendro,occupancy_bin,full,top_four,Nielsen,4,12,158,-0.009750367326133436
