scope,label_source,feature,variant,k,space,dim,monkey,maze,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,name_H,name_S,n_trials_H,n_trials_S,half_rule,half_H,half_S,half_corr_rule_H,half_corr_rule_S,equal_n,stable_H,stable_S,r_HH,r_SS,r_HS,delta,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
top_four,dendro,occupancy_bin,full,6,unith,6,Nielsen,4,Nov_1_g0,0.96875,,,,4H,4S,45,36,stable_shared,18,18,5,5,True,True,True,0.9154117715083785,0.9471246256535192,0.8948992966049201,0.03636890197602871,0,20,4,8,,0
top_four,dendro,occupancy_bin,full,6,unith,6,Nielsen,4,Nov_3_g0,0.999725274725275,,,,4H,4S,44,41,stable_shared,20,20,20,20,True,True,True,0.9303686583792372,0.9359042090563129,0.9175668905356973,0.015569543182077705,0,20,4,8,,0
top_four,dendro,occupancy_bin,full,6,unith,6,Nielsen,4,Nov_6_g0,1.0,,,,4H,4S,22,30,stable_shared,11,11,5,5,True,True,True,0.8463924471947111,0.898322029103776,0.8640698279332224,0.008287410216021085,0,20,4,8,,0
top_four,dendro,occupancy_bin,full,6,unith,6,Nielsen,4,Oct_22_g0,0.999896608767576,,,,4H,4S,21,61,stable_shared,10,10,9,9,True,True,True,0.7764616634657207,0.8596754122350292,0.8522147875806347,-0.034146249730259814,0,20,4,8,,0
top_four,dendro,occupancy_bin,no_origin,6,unith,5,Nielsen,4,Nov_1_g0,0.96875,,,,4H,4S,45,36,stable_shared,18,18,5,5,True,True,True,0.7676111461702928,0.8537868892932481,0.6636541559379403,0.14704486179383014,0,20,4,8,,0
top_four,dendro,occupancy_bin,no_origin,6,unith,5,Nielsen,4,Nov_3_g0,0.999725274725275,,,,4H,4S,44,41,stable_shared,20,20,20,20,True,True,True,0.6683184319754678,0.7754174292891495,0.595765328945469,0.12610260168683962,0,20,4,8,,0
top_four,dendro,occupancy_bin,no_origin,6,unith,5,Nielsen,4,Nov_6_g0,1.0,,,,4H,4S,22,30,stable_shared,11,11,5,5,True,True,True,0.37838485121020793,0.7849964614042327,0.5859926164370034,-0.004301960129783011,0,20,4,8,,0
top_four,dendro,occupancy_bin,no_origin,6,unith,5,Nielsen,4,Oct_22_g0,0.999896608767576,,,,4H,4S,21,61,stable_shared,10,10,9,9,True,True,True,0.3423594451207006,0.32274909260857093,0.49137334131395527,-0.15881907244931948,0,20,4,8,,0
top_four,dendro,occupancy_bin,mean_removed,6,unith,6,Nielsen,4,Nov_1_g0,0.96875,,,,4H,4S,45,36,stable_shared,18,18,5,5,True,True,True,0.5447396756958277,0.8501021310428836,0.5335719348307383,0.1638489685386174,0,20,4,8,,0
top_four,dendro,occupancy_bin,mean_removed,6,unith,6,Nielsen,4,Nov_3_g0,0.999725274725275,,,,4H,4S,44,41,stable_shared,20,20,20,20,True,True,True,-0.526697192151643,0.5808156711677253,0.04431094891291803,-0.017251709404876907,0,20,4,8,,0
top_four,dendro,occupancy_bin,mean_removed,6,unith,6,Nielsen,4,Nov_6_g0,1.0,,,,4H,4S,22,30,stable_shared,11,11,5,5,True,True,True,-0.6480247260007139,0.4892577988033235,0.03694082363442887,-0.11632428723312409,0,20,4,8,,0
top_four,dendro,occupancy_bin,mean_removed,6,unith,6,Nielsen,4,Oct_22_g0,0.999896608767576,,,,4H,4S,21,61,stable_shared,10,10,9,9,True,True,True,0.07182554468291115,0.5147411794555413,0.4564323284481545,-0.16314896637892828,0,20,4,8,,0
