label_source,feature,variant,scope,monkey,maze,k,perm_index,delta_null
svm,bigram,full,top_ten,Nielsen,2,6,0,7.52420574818835e-05
svm,bigram,full,top_ten,Nielsen,2,6,1,-0.037355681175414546
svm,bigram,full,top_ten,Nielsen,2,6,2,0.007038265323360771
svm,bigram,full,top_ten,Nielsen,2,6,3,0.03976708871158863
svm,bigram,full,top_ten,Nielsen,2,6,4,0.005435869170544061
svm,bigram,full,top_ten,Nielsen,2,6,5,0.037467976043059514
svm,bigram,full,top_ten,Nielsen,2,6,6,0.03690049765132608
svm,bigram,full,top_ten,Nielsen,2,6,7,-0.015417856987637424
svm,bigram,full,top_ten,Nielsen,2,6,8,0.009436325530784995
svm,bigram,full,top_ten,Nielsen,2,6,9,-0.03972973310349737
svm,bigram,full,top_ten,Nielsen,2,6,10,0.03378498200514024
svm,bigram,full,top_ten,Nielsen,2,6,11,-0.004833280207921176
svm,bigram,full,top_ten,Nielsen,2,6,12,0.033981143342961706
svm,bigram,full,top_ten,Nielsen,2,6,13,0.05468347173456484
svm,bigram,full,top_ten,Nielsen,2,6,14,0.06335765548820971
svm,bigram,full,top_ten,Nielsen,2,6,15,-0.00554855252191544
svm,bigram,full,top_ten,Nielsen,2,6,16,0.039337830632439896
svm,bigram,full,top_ten,Nielsen,2,6,17,0.002788830682365795
svm,bigram,full,top_ten,Nielsen,2,6,18,0.06925488083099907
svm,bigram,full,top_ten,Nielsen,2,6,19,-0.005283070107501564
svm,bigram,full,top_ten,Nielsen,2,6,20,0.05686695362274674
svm,bigram,full,top_ten,Nielsen,2,6,21,0.05406487160021578
svm,bigram,full,top_ten,Nielsen,2,6,22,0.023665794883588775
svm,bigram,full,top_ten,Nielsen,2,6,23,-0.0015270359295781466
svm,bigram,full,top_ten,Nielsen,2,6,24,0.045716459602124504
svm,bigram,full,top_ten,Nielsen,2,6,25,0.04299139359861692
svm,bigram,full,top_ten,Nielsen,2,6,26,0.08187609198900103
svm,bigram,full,top_ten,Nielsen,2,6,27,0.031004967487292423
svm,bigram,full,top_ten,Nielsen,2,6,28,0.025523608582255553
svm,bigram,full,top_ten,Nielsen,2,6,29,0.004937389241312429
svm,bigram,full,top_ten,Nielsen,2,6,30,0.011784172040673724
svm,bigram,full,top_ten,Nielsen,2,6,31,0.013371500406378134
svm,bigram,full,top_ten,Nielsen,2,6,32,0.06167472439480748
svm,bigram,full,top_ten,Nielsen,2,6,33,-0.006399494392074656
svm,bigram,full,top_ten,Nielsen,2,6,34,0.04839017062339318
svm,bigram,full,top_ten,Nielsen,2,6,35,0.037802032712545286
svm,bigram,full,top_ten,Nielsen,2,6,36,0.014804845620815466
svm,bigram,full,top_ten,Nielsen,2,6,37,-0.022742072352098575
svm,bigram,full,top_ten,Nielsen,2,6,38,0.04016441217069605
svm,bigram,full,top_ten,Nielsen,2,6,39,-0.0007826382048516933
svm,bigram,full,top_ten,Nielsen,2,6,40,0.01871682057324331
svm,bigram,full,top_ten,Nielsen,2,6,41,-0.018463690510077513
svm,bigram,full,top_ten,Nielsen,2,6,42,0.031691381230901094
svm,bigram,full,top_ten,Nielsen,2,6,43,0.019529329807707496
svm,bigram,full,top_ten,Nielsen,2,6,44,0.05680486367436832
svm,bigram,full,top_ten,Nielsen,2,6,45,0.002021012065898442
svm,bigram,full,top_ten,Nielsen,2,6,46,-0.017712029788913064
svm,bigram,full,top_ten,Nielsen,2,6,47,0.08112539307665001
svm,bigram,full,top_ten,Nielsen,2,6,48,0.03242218919997014
svm,bigram,full,top_ten,Nielsen,2,6,49,-0.010243559271075009
svm,bigram,full,top_ten,Nielsen,2,6,50,-0.035755680008592194
svm,bigram,full,top_ten,Nielsen,2,6,51,0.09129840534105549
svm,bigram,full,top_ten,Nielsen,2,6,52,-0.011347149328972406
svm,bigram,full,top_ten,Nielsen,2,6,53,-0.005301966344678166
svm,bigram,full,top_ten,Nielsen,2,6,54,0.010755825567508981
