scope,label_source,feature,variant,k,space,dim,monkey,maze,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,name_H,name_S,n_trials_H,n_trials_S,half_rule,half_H,half_S,half_corr_rule_H,half_corr_rule_S,equal_n,stable_H,stable_S,r_HH,r_SS,r_HS,delta,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Nov_18_g0,0.990064289888954,0.9955191895577635,0.9658094681472823,0.46511627906976744,4H,4S,43,27,stable_shared,13,13,13,13,True,True,True,0.45075300514571,0.5098774440140913,0.24454951931659924,0.23576570526330137,0,20,4,8,,0
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Nov_1_g0,0.96875,0.9744318181818181,0.9217657342657343,0.9030612244897959,4H,4S,54,27,stable_shared,13,13,4,4,True,True,True,0.5712938169724366,0.4195728985871671,0.4093091976941398,0.0861241600856621,0,20,4,8,,0
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Nov_3_g0,0.999725274725275,1.0,1.0,0.9810606060606061,4H,4S,40,45,stable_shared,20,20,20,20,True,True,True,0.6528353127329137,0.5279879744690266,0.47124228205499474,0.11916936154597535,0,20,4,8,,0
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Nov_4_g0,0.965494505494505,0.9621978021978022,0.9335164835164835,0.6478260869565218,4H,4S,24,33,stable_shared,12,12,5,5,True,True,True,0.42911711389490026,0.4006340336798968,0.4936689001305375,-0.07879332634313896,0,20,4,8,,0
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Nov_6_g0,1.0,1.0,0.9814814814814814,0.9037433155080213,4H,4S,16,36,stable_shared,8,8,8,8,True,True,True,0.4628514692575359,0.42000097479146054,0.5666933161759545,-0.12526709415145632,0,20,4,8,,0
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Nov_7_g0,0.973597359735974,0.9867986798679867,0.9692754989784693,0.5319148936170213,4H,4S,19,49,stable_shared,9,9,8,8,True,True,True,0.43529697144853047,0.40197176256324063,0.28818954915966144,0.13044481784622408,0,20,4,8,,0
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Nov_9_g0,0.957720588235294,0.9620655080213905,0.9217914438502673,0.593607305936073,4H,4S,34,39,stable_shared,17,17,9,9,True,True,True,0.585947949761567,0.5933702634617118,0.5589726788623056,0.030686427749333833,0,20,4,8,,0
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Oct_21_g0,0.990039008080245,0.9988854834215659,0.976177208135971,0.6844106463878327,4H,4S,28,59,stable_shared,14,14,4,4,True,True,True,0.49179634152951357,0.5344741139914906,0.5622121172724774,-0.04907688951197531,0,20,4,8,,0
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Oct_22_g0,0.999896608767576,1.0,1.0,0.8143459915611815,4H,4S,18,64,stable_shared,9,9,9,9,True,True,True,0.17602443245095506,0.291526096931958,0.3824688943487018,-0.14869362965724525,0,20,4,8,,0
top_ten,svm,bigram,full,12,unith,144,Nielsen,4,Oct_25_g0,0.969401041666667,0.97021484375,0.921875,0.5207547169811321,4H,4S,76,11,stable_shared,5,5,4,4,True,True,True,0.2346848523191591,0.1738927825161303,0.235732999128335,-0.0314441817106903,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Nov_18_g0,0.990064289888954,0.9955191895577635,0.9658094681472823,0.46511627906976744,4H,4S,43,27,stable_shared,13,13,13,13,True,True,True,0.4447248554185622,0.33793061950528663,0.06827409783456453,0.3230536396273599,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Nov_1_g0,0.96875,0.9744318181818181,0.9217657342657343,0.9030612244897959,4H,4S,54,27,stable_shared,13,13,4,4,True,True,True,0.434213499188748,0.3778812612422532,0.3717853706204834,0.034262009595017184,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Nov_3_g0,0.999725274725275,1.0,1.0,0.9810606060606061,4H,4S,40,45,stable_shared,20,20,20,20,True,True,True,0.5856006867077863,0.3729698791447057,0.37846010467990227,0.10082517824634374,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Nov_4_g0,0.965494505494505,0.9621978021978022,0.9335164835164835,0.6478260869565218,4H,4S,24,33,stable_shared,12,12,5,5,True,True,True,0.3368087440284484,0.03136125066122093,0.20509075394778273,-0.021005756602948067,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Nov_6_g0,1.0,1.0,0.9814814814814814,0.9037433155080213,4H,4S,16,36,stable_shared,8,8,8,8,True,True,True,0.4696624046855716,0.4250410633360636,0.46327861107179436,-0.01592687706097673,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Nov_7_g0,0.973597359735974,0.9867986798679867,0.9692754989784693,0.5319148936170213,4H,4S,19,49,stable_shared,9,9,8,8,True,True,True,0.11644249772494639,0.11416954427174493,0.09695965172542435,0.018346369272921312,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Nov_9_g0,0.957720588235294,0.9620655080213905,0.9217914438502673,0.593607305936073,4H,4S,34,39,stable_shared,17,17,9,9,True,True,True,0.2126726606875025,0.3916368532792581,0.21060218359197025,0.0915525733914101,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Oct_21_g0,0.990039008080245,0.9988854834215659,0.976177208135971,0.6844106463878327,4H,4S,28,59,stable_shared,14,14,4,4,True,True,True,0.2151277163752833,0.29168040880461527,0.3195386357613267,-0.06613457317137739,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Oct_22_g0,0.999896608767576,1.0,1.0,0.8143459915611815,4H,4S,18,64,stable_shared,9,9,9,9,True,True,True,0.04793395812456859,0.07178415868581119,0.14627188770917005,-0.08641282930398016,0,20,4,8,,0
top_ten,svm,bigram,no_origin,12,unith,121,Nielsen,4,Oct_25_g0,0.969401041666667,0.97021484375,0.921875,0.5207547169811321,4H,4S,76,11,stable_shared,5,5,4,4,True,True,True,0.0917547620960951,0.00834134518722486,0.011501924395600485,0.03854612924605949,0,20,4,8,,0
top_ten,svm,bigram,mean_removed,12,unith,144,Nielsen,4,Nov_18_g0,0.990064289888954,0.9955191895577635,0.9658094681472823,0.46511627906976744,4H,4S,43,27,stable_shared,13,13,13,13,True,True,True,-0.02094657683084975,0.33890913395950667,-0.17269168896972215,0.3316729675340506,0,20,4,8,,0
top_ten,svm,bigram,mean_removed,12,unith,144,Nielsen,4,Nov_1_g0,0.96875,0.9744318181818181,0.9217657342657343,0.9030612244897959,4H,4S,54,27,stable_shared,13,13,4,4,True,True,True,0.33717060620548883,0.23202093342645919,0.13825320070373398,0.14634256911224003,0,20,4,8,,0
top_ten,svm,bigram,mean_removed,12,unith,144,Nielsen,4,Nov_3_g0,0.999725274725275,1.0,1.0,0.9810606060606061,4H,4S,40,45,stable_shared,20,20,20,20,True,True,True,0.3321838036887565,0.12986525089095186,0.009505630710945715,0.22151889657890847,0,20,4,8,,0
top_ten,svm,bigram,mean_removed,12,unith,144,Nielsen,4,Nov_4_g0,0.965494505494505,0.9621978021978022,0.9335164835164835,0.6478260869565218,4H,4S,24,33,stable_shared,12,12,5,5,True,True,True,-0.14050289613120884,-0.03918537377072277,0.04675528582960842,-0.13659942078057422,0,20,4,8,,0
top_ten,svm,bigram,mean_removed,12,unith,144,Nielsen,4,Nov_6_g0,1.0,1.0,0.9814814814814814,0.9037433155080213,4H,4S,16,36,stable_shared,8,8,8,8,True,True,True,0.1277981993012666,0.06360005662936444,0.2896790502091896,-0.1939799222438741,0,20,4,8,,0
