label_source,feature,variant,scope,monkey,maze,k,perm_index,delta_null
svm,occupancy,full,top_ten,Nielsen,4,12,0,-0.014531915949337781
svm,occupancy,full,top_ten,Nielsen,4,12,1,0.0056654630641684856
svm,occupancy,full,top_ten,Nielsen,4,12,2,0.00303265996904023
svm,occupancy,full,top_ten,Nielsen,4,12,3,-0.0012269224836032322
svm,occupancy,full,top_ten,Nielsen,4,12,4,-0.018249439621935926
svm,occupancy,full,top_ten,Nielsen,4,12,5,-0.004631339032749371
svm,occupancy,full,top_ten,Nielsen,4,12,6,-0.002264599408262069
svm,occupancy,full,top_ten,Nielsen,4,12,7,-0.004685989601804219
svm,occupancy,full,top_ten,Nielsen,4,12,8,0.006687140571883354
svm,occupancy,full,top_ten,Nielsen,4,12,9,-0.010634319128928982
svm,occupancy,full,top_ten,Nielsen,4,12,10,-0.016082669937438898
svm,occupancy,full,top_ten,Nielsen,4,12,11,-0.011177100347032454
svm,occupancy,full,top_ten,Nielsen,4,12,12,-0.00039591029528984745
svm,occupancy,full,top_ten,Nielsen,4,12,13,-0.0029724397629921073
svm,occupancy,full,top_ten,Nielsen,4,12,14,0.03478019864372872
svm,occupancy,full,top_ten,Nielsen,4,12,15,0.009678490828728292
svm,occupancy,full,top_ten,Nielsen,4,12,16,0.00284150837599062
svm,occupancy,full,top_ten,Nielsen,4,12,17,-0.009729577116702859
svm,occupancy,full,top_ten,Nielsen,4,12,18,-0.0023664454902562193
svm,occupancy,full,top_ten,Nielsen,4,12,19,0.010515505535532266
svm,occupancy,full,top_ten,Nielsen,4,12,20,0.0024903524021788748
svm,occupancy,full,top_ten,Nielsen,4,12,21,0.015321557219847959
svm,occupancy,full,top_ten,Nielsen,4,12,22,0.0018047314639001444
svm,occupancy,full,top_ten,Nielsen,4,12,23,-0.0014417204520736915
svm,occupancy,full,top_ten,Nielsen,4,12,24,0.004295225392001112
svm,occupancy,full,top_ten,Nielsen,4,12,25,-0.017806654306441017
svm,occupancy,full,top_ten,Nielsen,4,12,26,-0.015592010859452943
svm,occupancy,full,top_ten,Nielsen,4,12,27,0.020931269910568262
svm,occupancy,full,top_ten,Nielsen,4,12,28,0.006462908846519344
svm,occupancy,full,top_ten,Nielsen,4,12,29,-0.006377271596064826
svm,occupancy,full,top_ten,Nielsen,4,12,30,0.006871798993808631
svm,occupancy,full,top_ten,Nielsen,4,12,31,0.008491000171377161
svm,occupancy,full,top_ten,Nielsen,4,12,32,-0.0148575541454663
svm,occupancy,full,top_ten,Nielsen,4,12,33,0.004598132204763794
svm,occupancy,full,top_ten,Nielsen,4,12,34,0.017537453497998623
svm,occupancy,full,top_ten,Nielsen,4,12,35,0.009869999988347367
svm,occupancy,full,top_ten,Nielsen,4,12,36,-0.00300112976407374
svm,occupancy,full,top_ten,Nielsen,4,12,37,-0.011847481987616426
svm,occupancy,full,top_ten,Nielsen,4,12,38,-0.007773280434196228
svm,occupancy,full,top_ten,Nielsen,4,12,39,0.0010261991346516286
svm,occupancy,full,top_ten,Nielsen,4,12,40,0.010876236881628754
svm,occupancy,full,top_ten,Nielsen,4,12,41,-4.059109200682531e-05
svm,occupancy,full,top_ten,Nielsen,4,12,42,-0.0010118875963933682
svm,occupancy,full,top_ten,Nielsen,4,12,43,0.0032659808442425664
svm,occupancy,full,top_ten,Nielsen,4,12,44,-0.0036254690070280926
svm,occupancy,full,top_ten,Nielsen,4,12,45,0.014228454143518143
svm,occupancy,full,top_ten,Nielsen,4,12,46,-0.0013169188404931198
svm,occupancy,full,top_ten,Nielsen,4,12,47,0.0023014027224801392
svm,occupancy,full,top_ten,Nielsen,4,12,48,0.002790468855812578
svm,occupancy,full,top_ten,Nielsen,4,12,49,0.02349914289184929
svm,occupancy,full,top_ten,Nielsen,4,12,50,-0.01981794427067607
svm,occupancy,full,top_ten,Nielsen,4,12,51,0.0027308202453710795
svm,occupancy,full,top_ten,Nielsen,4,12,52,-0.010969492619713472
svm,occupancy,full,top_ten,Nielsen,4,12,53,-0.01566455005192624
svm,occupancy,full,top_ten,Nielsen,4,12,54,0.0086232289513547
svm,occupancy,full,top_ten,Nielsen,4,12,55,-0.005041241764457749
svm,occupancy,full,top_ten,Nielsen,4,12,56,0.013371824330195459
svm,occupancy,full,top_ten,Nielsen,4,12,57,-0.012061959135851286
svm,occupancy,full,top_ten,Nielsen,4,12,58,-0.00546598531660536
svm,occupancy,full,top_ten,Nielsen,4,12,59,0.0015956604570521726
svm,occupancy,full,top_ten,Nielsen,4,12,60,0.002969493202151008
svm,occupancy,full,top_ten,Nielsen,4,12,61,-0.008580281909918552
svm,occupancy,full,top_ten,Nielsen,4,12,62,0.017973653348791196
svm,occupancy,full,top_ten,Nielsen,4,12,63,-0.0033381323901019444
svm,occupancy,full,top_ten,Nielsen,4,12,64,0.0010318630311797472
svm,occupancy,full,top_ten,Nielsen,4,12,65,0.0004570789073710113
svm,occupancy,full,top_ten,Nielsen,4,12,66,0.0019563226402768974
svm,occupancy,full,top_ten,Nielsen,4,12,67,0.004431070993484387
svm,occupancy,full,top_ten,Nielsen,4,12,68,-0.0005316100657880574
svm,occupancy,full,top_ten,Nielsen,4,12,69,0.010863580082672852
svm,occupancy,full,top_ten,Nielsen,4,12,70,0.0018915390344138583
svm,occupancy,full,top_ten,Nielsen,4,12,71,0.010462908424845097
svm,occupancy,full,top_ten,Nielsen,4,12,72,0.007373665019050013
svm,occupancy,full,top_ten,Nielsen,4,12,73,0.009595043845312956
svm,occupancy,full,top_ten,Nielsen,4,12,74,0.002152434401808234
svm,occupancy,full,top_ten,Nielsen,4,12,75,-0.014873438193160449
svm,occupancy,full,top_ten,Nielsen,4,12,76,-0.013300470167860734
svm,occupancy,full,top_ten,Nielsen,4,12,77,0.0007490012200576102
svm,occupancy,full,top_ten,Nielsen,4,12,78,0.014989260660064452
svm,occupancy,full,top_ten,Nielsen,4,12,79,0.010219508677525524
svm,occupancy,full,top_ten,Nielsen,4,12,80,-0.0005557187093859772
svm,occupancy,full,top_ten,Nielsen,4,12,81,0.008232206786968232
svm,occupancy,full,top_ten,Nielsen,4,12,82,-0.005441880019259493
svm,occupancy,full,top_ten,Nielsen,4,12,83,0.010394618240509357
svm,occupancy,full,top_ten,Nielsen,4,12,84,0.0051351704540612
svm,occupancy,full,top_ten,Nielsen,4,12,85,-0.015420482769289423
svm,occupancy,full,top_ten,Nielsen,4,12,86,0.0033751449774734876
svm,occupancy,full,top_ten,Nielsen,4,12,87,-0.012451615488407342
svm,occupancy,full,top_ten,Nielsen,4,12,88,-0.006549240320068428
svm,occupancy,full,top_ten,Nielsen,4,12,89,-0.0150708821048825
svm,occupancy,full,top_ten,Nielsen,4,12,90,-0.008672040663998959
svm,occupancy,full,top_ten,Nielsen,4,12,91,-0.0006323127049857602
svm,occupancy,full,top_ten,Nielsen,4,12,92,-0.004926919423095422
svm,occupancy,full,top_ten,Nielsen,4,12,93,0.004986717075060154
svm,occupancy,full,top_ten,Nielsen,4,12,94,0.0033076620011817104
svm,occupancy,full,top_ten,Nielsen,4,12,95,0.01036821422683376
svm,occupancy,full,top_ten,Nielsen,4,12,96,-0.003671267645081633
svm,occupancy,full,top_ten,Nielsen,4,12,97,-0.0022256623767860084
svm,occupancy,full,top_ten,Nielsen,4,12,98,0.023498140409442758
svm,occupancy,full,top_ten,Nielsen,4,12,99,-0.0005943927976155283
svm,occupancy,full,top_ten,Nielsen,4,12,100,-0.01540291845163122
svm,occupancy,full,top_ten,Nielsen,4,12,101,0.0015678760941034708
svm,occupancy,full,top_ten,Nielsen,4,12,102,-0.004819018282878007
svm,occupancy,full,top_ten,Nielsen,4,12,103,-0.010206145151743229
svm,occupancy,full,top_ten,Nielsen,4,12,104,0.00015300541939300416
svm,occupancy,full,top_ten,Nielsen,4,12,105,0.009161090536367267
svm,occupancy,full,top_ten,Nielsen,4,12,106,-0.0021420853063257583
svm,occupancy,full,top_ten,Nielsen,4,12,107,0.0066193260611551175
svm,occupancy,full,top_ten,Nielsen,4,12,108,-0.009482843446647848
svm,occupancy,full,top_ten,Nielsen,4,12,109,-0.0033893266429534386
svm,occupancy,full,top_ten,Nielsen,4,12,110,0.007902833357944283
svm,occupancy,full,top_ten,Nielsen,4,12,111,0.01647603123152719
svm,occupancy,full,top_ten,Nielsen,4,12,112,-0.006234754019824096
svm,occupancy,full,top_ten,Nielsen,4,12,113,-0.022043968480755294
svm,occupancy,full,top_ten,Nielsen,4,12,114,0.0036389800155284258
svm,occupancy,full,top_ten,Nielsen,4,12,115,-0.011480023668222206
svm,occupancy,full,top_ten,Nielsen,4,12,116,-0.009516498374963711
svm,occupancy,full,top_ten,Nielsen,4,12,117,-0.005435858464329479
svm,occupancy,full,top_ten,Nielsen,4,12,118,0.0009285158952019312
svm,occupancy,full,top_ten,Nielsen,4,12,119,-0.011289864710146036
svm,occupancy,full,top_ten,Nielsen,4,12,120,0.0070766483556117254
svm,occupancy,full,top_ten,Nielsen,4,12,121,-0.01695138375725569
svm,occupancy,full,top_ten,Nielsen,4,12,122,0.0010276251818166493
svm,occupancy,full,top_ten,Nielsen,4,12,123,0.018199032096800072
svm,occupancy,full,top_ten,Nielsen,4,12,124,0.0037177032232763585
svm,occupancy,full,top_ten,Nielsen,4,12,125,-0.007451676090443504
svm,occupancy,full,top_ten,Nielsen,4,12,126,-0.004056180967563439
svm,occupancy,full,top_ten,Nielsen,4,12,127,-0.003644122677116668
svm,occupancy,full,top_ten,Nielsen,4,12,128,0.006729293442445217
svm,occupancy,full,top_ten,Nielsen,4,12,129,0.00036877560352122085
svm,occupancy,full,top_ten,Nielsen,4,12,130,0.002355356350594917
svm,occupancy,full,top_ten,Nielsen,4,12,131,0.00579989129210956
svm,occupancy,full,top_ten,Nielsen,4,12,132,-0.011843220091064754
svm,occupancy,full,top_ten,Nielsen,4,12,133,0.002583531110860293
svm,occupancy,full,top_ten,Nielsen,4,12,134,0.0005644094570685931
