label_source,feature,variant,scope,monkey,maze,k,perm_index,delta_null
svm,occupancy_bin,full,top_ten,Nielsen,2,12,0,-0.018411424875415472
svm,occupancy_bin,full,top_ten,Nielsen,2,12,1,0.0038864851942777
svm,occupancy_bin,full,top_ten,Nielsen,2,12,2,-0.006166717577666625
svm,occupancy_bin,full,top_ten,Nielsen,2,12,3,0.00791613975422456
svm,occupancy_bin,full,top_ten,Nielsen,2,12,4,0.002746818836562692
svm,occupancy_bin,full,top_ten,Nielsen,2,12,5,-0.0011656960116148696
svm,occupancy_bin,full,top_ten,Nielsen,2,12,6,0.012778154059545188
svm,occupancy_bin,full,top_ten,Nielsen,2,12,7,0.027060682513149636
svm,occupancy_bin,full,top_ten,Nielsen,2,12,8,-0.00792897141940907
svm,occupancy_bin,full,top_ten,Nielsen,2,12,9,0.016551084947425965
svm,occupancy_bin,full,top_ten,Nielsen,2,12,10,-0.00021504385078885413
svm,occupancy_bin,full,top_ten,Nielsen,2,12,11,-0.004378130669288494
svm,occupancy_bin,full,top_ten,Nielsen,2,12,12,0.016834396298092136
svm,occupancy_bin,full,top_ten,Nielsen,2,12,13,0.0036736985518881493
svm,occupancy_bin,full,top_ten,Nielsen,2,12,14,0.010658621464257001
svm,occupancy_bin,full,top_ten,Nielsen,2,12,15,-0.004646860680999287
svm,occupancy_bin,full,top_ten,Nielsen,2,12,16,-0.031219708380872735
svm,occupancy_bin,full,top_ten,Nielsen,2,12,17,0.021964024709145713
svm,occupancy_bin,full,top_ten,Nielsen,2,12,18,0.054235720517277874
svm,occupancy_bin,full,top_ten,Nielsen,2,12,19,-0.028321872161461537
svm,occupancy_bin,full,top_ten,Nielsen,2,12,20,0.02030623552486177
svm,occupancy_bin,full,top_ten,Nielsen,2,12,21,0.01865432509348075
svm,occupancy_bin,full,top_ten,Nielsen,2,12,22,-0.018795748581189042
svm,occupancy_bin,full,top_ten,Nielsen,2,12,23,0.017668760739065092
svm,occupancy_bin,full,top_ten,Nielsen,2,12,24,0.019931037605601
svm,occupancy_bin,full,top_ten,Nielsen,2,12,25,0.00606144431329092
svm,occupancy_bin,full,top_ten,Nielsen,2,12,26,0.004606666318280439
svm,occupancy_bin,full,top_ten,Nielsen,2,12,27,0.008980701794178092
