scope,label_source,feature,variant,k,space,dim,monkey,maze,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,name_H,name_S,n_trials_H,n_trials_S,half_rule,half_H,half_S,half_corr_rule_H,half_corr_rule_S,equal_n,stable_H,stable_S,r_HH,r_SS,r_HS,delta,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Nov_18_g0,0.990064289888954,0.9955191895577635,0.9658094681472823,0.46511627906976744,4H,4S,43,27,stable_shared,13,13,13,13,True,True,True,0.8717378763818934,0.8445571953073747,0.6816885636290417,0.17645897221559226,0,20,4,8,,0
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Nov_1_g0,0.96875,0.9744318181818181,0.9217657342657343,0.9030612244897959,4H,4S,54,27,stable_shared,13,13,4,4,True,True,True,0.8954955236590811,0.8623700550989124,0.8449425321477027,0.03399025723129412,0,20,4,8,,0
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Nov_3_g0,0.999725274725275,1.0,1.0,0.9810606060606061,4H,4S,40,45,stable_shared,20,20,20,20,True,True,True,0.9409262171001804,0.9236614787448124,0.907623738089191,0.02467010983330553,0,20,4,8,,0
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Nov_4_g0,0.965494505494505,0.9621978021978022,0.9335164835164835,0.6478260869565218,4H,4S,24,33,stable_shared,12,12,5,5,True,True,True,0.8759933853547613,0.8691257469385363,0.8427578483655591,0.029801717781089643,0,20,4,8,,0
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Nov_6_g0,1.0,1.0,0.9814814814814814,0.9037433155080213,4H,4S,16,36,stable_shared,8,8,8,8,True,True,True,0.8681573647671602,0.842126479476442,0.8499793166384506,0.0051626054833504575,0,20,4,8,,0
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Nov_7_g0,0.973597359735974,0.9867986798679867,0.9692754989784693,0.5319148936170213,4H,4S,19,49,stable_shared,9,9,8,8,True,True,True,0.8532429560165185,0.8012460566571471,0.787421917847959,0.03982258848887377,0,20,4,8,,0
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Nov_9_g0,0.957720588235294,0.9620655080213905,0.9217914438502673,0.593607305936073,4H,4S,34,39,stable_shared,17,17,9,9,True,True,True,0.9254243245613442,0.9290756698551002,0.9123545393318953,0.014895457876326956,0,20,4,8,,0
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Oct_21_g0,0.990039008080245,0.9988854834215659,0.976177208135971,0.6844106463878327,4H,4S,28,59,stable_shared,14,14,4,4,True,True,True,0.9383976229131165,0.9106759999578469,0.924021144540834,0.0005156668946477705,0,20,4,8,,0
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Oct_22_g0,0.999896608767576,1.0,1.0,0.8143459915611815,4H,4S,18,64,stable_shared,9,9,9,9,True,True,True,0.8324999373930192,0.8415970666787829,0.8406848688701528,-0.0036363668342517252,0,20,4,8,,0
top_ten,svm,occupancy_bin,full,12,unith,12,Nielsen,4,Oct_25_g0,0.969401041666667,0.97021484375,0.921875,0.5207547169811321,4H,4S,76,11,stable_shared,5,5,4,4,True,True,True,0.765360882266087,0.6608495680800245,0.7277089799239416,-0.014603754750885822,0,20,4,8,,0
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Nov_18_g0,0.990064289888954,0.9955191895577635,0.9658094681472823,0.46511627906976744,4H,4S,43,27,stable_shared,13,13,13,13,True,True,True,0.7255700362320938,0.46433210365229466,0.11134963755934306,0.4836014323828512,0,20,4,8,,0
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Nov_1_g0,0.96875,0.9744318181818181,0.9217657342657343,0.9030612244897959,4H,4S,54,27,stable_shared,13,13,4,4,True,True,True,0.6825749652985469,0.6226218771687138,0.5325854447394879,0.12001297649414244,0,20,4,8,,0
