group,level,n,mean_x,ci95_x,mean_y,ci95_y
all,all,1843,-0.14110160791457893,0.02586466254282894,0.4735250817243555,0.034168657436658444
maze,1,271,-0.23986086837055567,0.06401976930883081,0.5093594156373189,0.08690292968523715
maze,2,259,-0.2913282394137694,0.06440101383743009,0.45749270342718307,0.09529558710862662
maze,3,295,-0.19357716874180014,0.06366136659409097,0.5763704931623918,0.08544344990720415
maze,4,296,-0.07843393798779093,0.06404916865998457,0.49947183332571166,0.08822296785569313
maze,5,359,-0.09312957375340195,0.06180172971115613,0.37727624353787975,0.07765381704108805
maze,6,363,-0.016084646416786988,0.05708883807201736,0.448662766433108,0.07236897031985616
strategy,hierarchical,564,-0.2419489646082371,0.04276293978025821,0.4432742761597467,0.05965362204696768
strategy,sequential,731,-0.06820956949640203,0.039226036795028216,0.41211696949764504,0.050628679755766015
maze×strategy,1/hierarchical,181,-0.23254825048809818,0.0769073325072455,0.449082882535896,0.09772162919056782
maze×strategy,1/sequential,13,-0.06801694477550112,0.20295663184087928,0.6844762980024546,0.4607992005540462
maze×strategy,2/hierarchical,110,-0.3175728219550696,0.09174290988920154,0.482156656104648,0.14053067819448867
maze×strategy,2/sequential,67,-0.22857256927145228,0.1222958696566442,0.3037459631711106,0.1459088367011932
maze×strategy,3/hierarchical,172,-0.25348198520450116,0.07511788759494172,0.5036640173632403,0.11250473104623188
maze×strategy,3/sequential,22,0.047287692067171025,0.20586582332433467,0.6230655878528275,0.2748103329281943
maze×strategy,4/hierarchical,30,-0.20965867098032806,0.21148405064085282,0.40755183453438804,0.20372683114647935
maze×strategy,4/sequential,183,-0.07904455509823059,0.0790037639910182,0.4924892289086901,0.10963020641419746
maze×strategy,5/hierarchical,46,-0.18521065775143064,0.1655433287835708,0.14678450813516974,0.23581172480056448
maze×strategy,5/sequential,213,-0.07174706339186818,0.0758046313990267,0.33212673171049534,0.09487610083508007
maze×strategy,6/hierarchical,25,-0.04106481777969748,0.17468723454401983,0.40306417787447574,0.25703866881329335
maze×strategy,6/sequential,233,-0.021268944285985865,0.06824625087506983,0.4181646678922498,0.0836902651381811
session,june_16_g0,505,0.0314329640787685,0.04646511247087166,0.48130100704337664,0.06502666456300295
session,june_22_g0,445,-0.2027154883987197,0.05664209672878044,0.543071192381328,0.06776122411776599
session,june_24_g0,487,-0.26364048883616276,0.04864780577981816,0.43176177282768896,0.06994275909729007
session,june_8_g0,406,-0.14118866957070333,0.05144519868629918,0.4377218056263705,0.07012113152612867
