group,level,n,mean_x,ci95_x,mean_y,ci95_y
all,all,2448,0.0017164418403172615,0.020415281573766764,0.5960261667263028,0.02956034184318258
maze,1,353,-0.09502268389128571,0.049900488037672545,0.6302448611296898,0.0779566217077135
maze,2,367,-0.05206568562330511,0.05160189458010228,0.6307314356192008,0.07703057043438467
maze,3,400,-0.11116977104480612,0.04701537905222804,0.6803240903580445,0.07664388582056549
maze,4,401,-0.006951142201766817,0.049817178403205466,0.5387307575185599,0.06800796974029528
maze,5,477,0.032340859170843,0.04306642476685481,0.5952231276541678,0.06528849124927845
maze,6,450,0.19707042284180515,0.052336358053829676,0.5178557366572527,0.07053204838283465
strategy,hierarchical,824,-0.0858642098863182,0.03362858260962812,0.693143345436643,0.05018983232493656
strategy,sequential,922,0.07369400804204293,0.03362471110229566,0.6534263633825178,0.04768566692722452
maze×strategy,1/hierarchical,206,-0.13359952775944586,0.059248024077434604,0.6952116045585462,0.1010317020429858
maze×strategy,1/sequential,27,-0.28608895664068834,0.21611953125547353,0.7963962342538353,0.2874459594342048
maze×strategy,2/hierarchical,214,-0.04264206581892637,0.06798419116846763,0.622585706620055,0.0969604833152912
maze×strategy,2/sequential,51,-0.0014627901061127584,0.13466009715734698,0.9263803401834094,0.21415237413421398
maze×strategy,3/hierarchical,246,-0.12191708626157445,0.05870941178085538,0.789789797572563,0.09266311172135333
maze×strategy,3/sequential,45,-0.23744893104044928,0.15775277592632808,0.8875988379974539,0.23118012795532888
maze×strategy,4/hierarchical,132,-0.034109854057367724,0.1010793176537752,0.585796170312361,0.1219806902502541
maze×strategy,4/sequential,168,0.03414639527770868,0.07254966954869398,0.6291844831485789,0.09870320775082692
maze×strategy,5/hierarchical,20,0.031539990846067664,0.18537348314842247,0.8638074990652967,0.31670928853849567
maze×strategy,5/sequential,308,0.05002043392341403,0.052512262595373574,0.6805473578074802,0.08191874523297017
maze×strategy,6/hierarchical,6,-0.040316667271933206,0.34124543615169933,0.9689417031089155,0.6586822979402474
maze×strategy,6/sequential,323,0.202127533688011,0.05964107350224367,0.5524999513341281,0.08216822663212371
session,Nov_1_g0,555,-0.11503838287553171,0.048876840121835595,0.44734170919699545,0.06849155465250222
session,Nov_3_g0,621,0.05193191662190059,0.033714192210044035,0.5945803210988113,0.052563316156750625
session,Nov_6_g0,569,0.009123025913370907,0.04609066073989074,0.5379556919886324,0.05791303911926598
session,Oct_22_g0,703,0.04353830747383847,0.03480958258793087,0.761687396013888,0.05541811185336178
