monkey,session,snr_auc,n_maze_1_trials,n_maze_6_trials,n_neurons,status
Nielsen,Nov_6_g0,1,54,79,73,passed
Nielsen,Oct_22_g0,0.999896608767576,62,78,71,passed
Nielsen,Nov_3_g0,0.999725274725275,65,84,46,passed
Faure,june_24_g0,0.999341238471673,44,69,144,passed
Faure,june_8_g0,0.998737373737374,44,54,91,passed
Faure,june_28_g0,0.993063812921126,58,87,89,passed
Nielsen,Nov_18_g0,0.990064289888954,59,87,34,passed
Nielsen,Oct_21_g0,0.990039008080245,74,97,103,passed
Faure,june_29_g0,0.983380681818182,55,64,127,passed
Faure,june_16_g0,0.977857142857143,60,70,65,passed
Faure,june_09_09_g0,0.977531857813548,42,71,89,passed
Faure,june_18_g0,0.976758663623158,61,79,88,passed
Nielsen,Nov_7_g0,0.973597359735974,63,101,121,passed
Faure,june_10_g0,0.972524154589372,46,72,130,passed
Faure,june_22_g0,0.97123745819398,46,65,101,passed
Faure,june_12_g0,0.970520799213888,43,71,67,passed
Nielsen,Oct_25_g0,0.969401041666667,64,96,114,passed
Nielsen,Nov_1_g0,0.96875,52,88,84,passed
Faure,june_17_g0,0.968567251461988,48,57,66,passed
Nielsen,Nov_4_g0,0.965494505494505,65,70,42,passed
Faure,April_8_g0,0.962453358208955,67,64,67,passed
Nielsen,Nov_9_g0,0.957720588235294,68,88,81,passed
Faure,june_11_g0,0.952031839128613,62,77,101,passed
Nielsen,Nov_2_g0,0.947591145833333,48,64,107,passed
Faure,june_30_g0,0.941647058823529,50,85,37,passed
Faure,june_21_g0,0.891774891774892,42,77,99,passed
Nielsen,Oct_23_g0,0.883161512027491,75,97,118,passed
Faure,june_23_g0,0.870227038183695,51,76,86,passed
Faure,june_14_g0,0.861185983827493,53,70,59,passed
Nielsen,Oct_31_g0,0.810161408657374,58,94,47,passed
Faure,April_11_2_g0,0.804444444444445,30,45,21,passed
Nielsen,Nov_19_g0,0.792452830188679,53,60,112,passed
Nielsen,Nov_11_g0,0.791239515377446,74,87,108,passed
Nielsen,Oct_24_g0,0.785714285714286,56,97,102,passed
Nielsen,Nov_24_g0,0.775866430559069,59,67,96,passed
Faure,june_20_g0,0.740848806366048,65,58,69,passed
Nielsen,Nov_22_g0,0.736111111111111,60,54,20,passed
Nielsen,Nov_23_g0,0.735084140744518,74,106,53,passed
Faure,june_19_g0,0.732229123533471,42,69,96,passed
Faure,june_25_g0,0.692691029900332,43,84,137,passed
Nielsen,Dec_01_g0,0.689857761286333,66,98,51,passed
Nielsen,Oct_26_g0,0.68298969072165,60,97,147,passed
Nielsen,Nov_17_g0,0.680392156862745,51,70,31,passed
Faure,june_15_g0,0.665697674418605,43,48,54,passed
Faure,April_20_g0,0.650581395348837,43,80,44,passed
Nielsen,Oct_27_g0,0.65018315018315,52,63,23,passed
Nielsen,Nov_25_g0,0.649919484702093,45,69,23,passed
Nielsen,Dec_03_g0,0.636812144212524,62,85,44,passed
Faure,April_13_g0,0.617566830332788,39,47,27,passed
Faure,April_25_g1,0.611565053425518,37,43,28,passed
Nielsen,Nov_10_g0,0.586787330316742,65,85,53,passed
Nielsen,Dec_02_g0,0.58327868852459,61,50,65,passed
Nielsen,Nov_27_g0,0.566358024691358,54,84,88,passed
Nielsen,Oct_28_g0,0.561368209255533,70,71,29,passed
Nielsen,Nov_29_g0,0.549970777323203,58,59,46,passed
Faure,june_27_g0,0.544159544159544,52,81,79,passed
Faure,june_13_g0,0.542519181585678,46,68,65,passed
Nielsen,Nov_30_g0,0.542040816326531,49,75,50,passed
Nielsen,Dec_06_g0,0.525767543859649,57,64,25,passed
Nielsen,Nov_28_g0,0.430119477632676,61,59,33,passed
Nielsen,Dec_05_g0,0.399591955698047,47,73,16,passed
